,Date,Open,High,Low,Close,Adj Close,Volume,ticker
219,2019-01-07,,,,,,,NA
220,2019-01-08,,,,,,,NA
221,2019-01-09,,,,,,,NA
222,2019-01-10,,,,,,,NA
223,2019-01-11,,,,,,,NA
224,2019-01-14,,,,,,,NA
225,2019-01-15,,,,,,,NA
226,2019-01-16,,,,,,,NA
227,2019-01-17,,,,,,,NA
228,2019-01-18,,,,,,,NA
229,2019-01-22,,,,,,,NA
230,2019-01-23,,,,,,,NA
231,2019-01-24,,,,,,,NA
232,2019-01-25,,,,,,,NA
233,2019-01-28,,,,,,,NA
234,2019-01-29,,,,,,,NA
235,2019-01-30,,,,,,,NA
236,2019-01-31,,,,,,,NA
237,2019-02-01,,,,,,,NA
238,2019-02-04,,,,,,,NA
239,2019-02-05,,,,,,,NA
240,2019-02-06,,,,,,,NA
241,2019-02-07,,,,,,,NA
242,2019-02-08,,,,,,,NA
243,2019-02-11,,,,,,,NA
244,2019-02-12,,,,,,,NA
245,2019-02-13,,,,,,,NA
246,2019-02-14,,,,,,,NA
247,2019-02-15,,,,,,,NA
248,2019-02-19,,,,,,,NA
249,2019-02-20,,,,,,,NA
250,2019-02-21,,,,,,,NA
251,2019-02-22,,,,,,,NA
252,2019-02-25,,,,,,,NA
253,2019-02-26,,,,,,,NA
254,2019-02-27,,,,,,,NA
255,2019-02-28,,,,,,,NA
256,2019-03-01,,,,,,,NA
257,2019-03-04,,,,,,,NA
258,2019-03-05,,,,,,,NA
259,2019-03-06,,,,,,,NA
260,2019-03-07,,,,,,,NA
261,2019-03-08,,,,,,,NA
262,2019-03-11,,,,,,,NA
263,2019-03-12,,,,,,,NA
264,2019-03-13,,,,,,,NA
265,2019-03-14,,,,,,,NA
266,2019-03-15,,,,,,,NA
267,2019-03-18,,,,,,,NA
268,2019-03-19,,,,,,,NA
269,2019-03-20,,,,,,,NA
270,2019-03-21,,,,,,,NA
271,2019-03-22,,,,,,,NA
272,2019-03-25,,,,,,,NA
273,2019-03-26,,,,,,,NA
274,2019-03-27,,,,,,,NA
275,2019-03-28,,,,,,,NA
276,2019-03-29,,,,,,,NA
277,2019-04-01,,,,,,,NA
278,2019-04-02,,,,,,,NA
279,2019-04-03,,,,,,,NA
280,2019-04-04,,,,,,,NA
281,2019-04-05,,,,,,,NA
282,2019-04-08,,,,,,,NA
283,2019-04-09,,,,,,,NA
284,2019-04-10,,,,,,,NA
285,2019-04-11,,,,,,,NA
286,2019-04-12,,,,,,,NA
287,2019-04-15,,,,,,,NA
288,2019-04-16,,,,,,,NA
289,2019-04-17,,,,,,,NA
290,2019-04-18,,,,,,,NA
291,2019-04-22,,,,,,,NA
292,2019-04-23,,,,,,,NA
293,2019-04-24,,,,,,,NA
294,2019-04-25,,,,,,,NA
295,2019-04-26,,,,,,,NA
296,2019-04-29,,,,,,,NA
297,2019-04-30,,,,,,,NA
298,2019-05-01,,,,,,,NA
299,2019-05-02,,,,,,,NA
300,2019-05-03,,,,,,,NA
301,2019-05-06,,,,,,,NA
302,2019-05-07,,,,,,,NA
303,2019-05-08,,,,,,,NA
304,2019-05-09,,,,,,,NA
305,2019-05-10,,,,,,,NA
306,2019-05-13,,,,,,,NA
307,2019-05-14,,,,,,,NA
308,2019-05-15,,,,,,,NA
309,2019-05-16,,,,,,,NA
310,2019-05-17,,,,,,,NA
311,2019-05-20,,,,,,,NA
312,2019-05-21,,,,,,,NA
313,2019-05-22,,,,,,,NA
314,2019-05-23,,,,,,,NA
315,2019-05-24,,,,,,,NA
316,2019-05-28,,,,,,,NA
317,2019-05-29,,,,,,,NA
318,2019-05-30,,,,,,,NA
319,2019-05-31,,,,,,,NA
320,2019-06-03,,,,,,,NA
321,2019-06-04,,,,,,,NA
322,2019-06-05,,,,,,,NA
323,2019-06-06,,,,,,,NA
324,2019-06-07,,,,,,,NA
325,2019-06-10,,,,,,,NA
326,2019-06-11,,,,,,,NA
327,2019-06-12,,,,,,,NA
328,2019-06-13,,,,,,,NA
329,2019-06-14,,,,,,,NA
330,2019-06-17,,,,,,,NA
331,2019-06-18,,,,,,,NA
332,2019-06-19,,,,,,,NA
333,2019-06-20,,,,,,,NA
334,2019-06-21,,,,,,,NA
335,2019-06-24,,,,,,,NA
336,2019-06-25,,,,,,,NA
337,2019-06-26,,,,,,,NA
338,2019-06-27,,,,,,,NA
339,2019-06-28,,,,,,,NA
340,2019-07-01,,,,,,,NA
341,2019-07-02,,,,,,,NA
342,2019-07-03,,,,,,,NA
343,2019-07-05,,,,,,,NA
344,2019-07-08,,,,,,,NA
345,2019-07-09,,,,,,,NA
346,2019-07-10,,,,,,,NA
347,2019-07-11,,,,,,,NA
348,2019-07-12,,,,,,,NA
349,2019-07-15,,,,,,,NA
350,2019-07-16,,,,,,,NA
351,2019-07-17,,,,,,,NA
352,2019-07-18,,,,,,,NA
353,2019-07-19,,,,,,,NA
354,2019-07-22,,,,,,,NA
355,2019-07-23,,,,,,,NA
356,2019-07-24,,,,,,,NA
357,2019-07-25,,,,,,,NA
358,2019-07-26,,,,,,,NA
359,2019-07-29,,,,,,,NA
360,2019-07-30,,,,,,,NA
361,2019-07-31,,,,,,,NA
362,2019-08-01,,,,,,,NA
363,2019-08-02,,,,,,,NA
364,2019-08-05,,,,,,,NA
365,2019-08-06,,,,,,,NA
366,2019-08-07,,,,,,,NA
367,2019-08-08,,,,,,,NA
368,2019-08-09,,,,,,,NA
369,2019-08-12,,,,,,,NA
370,2019-08-13,,,,,,,NA
371,2019-08-14,,,,,,,NA
372,2019-08-15,,,,,,,NA
373,2019-08-16,,,,,,,NA
374,2019-08-19,,,,,,,NA
375,2019-08-20,,,,,,,NA
376,2019-08-21,,,,,,,NA
377,2019-08-22,,,,,,,NA
378,2019-08-23,,,,,,,NA
379,2019-08-26,,,,,,,NA
380,2019-08-27,,,,,,,NA
381,2019-08-28,,,,,,,NA
382,2019-08-29,,,,,,,NA
383,2019-08-30,,,,,,,NA
384,2019-09-03,,,,,,,NA
385,2019-09-04,,,,,,,NA
386,2019-09-05,,,,,,,NA
387,2019-09-06,,,,,,,NA
388,2019-09-09,,,,,,,NA
389,2019-09-10,,,,,,,NA
390,2019-09-11,,,,,,,NA
391,2019-09-12,,,,,,,NA
392,2019-09-13,,,,,,,NA
393,2019-09-16,,,,,,,NA
394,2019-09-17,,,,,,,NA
395,2019-09-18,,,,,,,NA
396,2019-09-19,,,,,,,NA
397,2019-09-20,,,,,,,NA
398,2019-09-23,,,,,,,NA
399,2019-09-24,,,,,,,NA
400,2019-09-25,,,,,,,NA
401,2019-09-26,,,,,,,NA
402,2019-09-27,,,,,,,NA
403,2019-09-30,,,,,,,NA
404,2019-10-01,,,,,,,NA
405,2019-10-02,,,,,,,NA
406,2019-10-03,,,,,,,NA
407,2019-10-04,,,,,,,NA
408,2019-10-07,,,,,,,NA
409,2019-10-08,,,,,,,NA
410,2019-10-09,,,,,,,NA
411,2019-10-10,,,,,,,NA
412,2019-10-11,,,,,,,NA
413,2019-10-14,,,,,,,NA
414,2019-10-15,,,,,,,NA
415,2019-10-16,,,,,,,NA
416,2019-10-17,,,,,,,NA
417,2019-10-18,,,,,,,NA
418,2019-10-21,,,,,,,NA
419,2019-10-22,,,,,,,NA
420,2019-10-23,,,,,,,NA
421,2019-10-24,,,,,,,NA
422,2019-10-25,,,,,,,NA
423,2019-10-28,,,,,,,NA
424,2019-10-29,,,,,,,NA
425,2019-10-30,,,,,,,NA
426,2019-10-31,,,,,,,NA
427,2019-11-01,,,,,,,NA
428,2019-11-04,,,,,,,NA
429,2019-11-05,,,,,,,NA
430,2019-11-06,,,,,,,NA
431,2019-11-07,,,,,,,NA
432,2019-11-08,,,,,,,NA
433,2019-11-11,,,,,,,NA
434,2019-11-12,,,,,,,NA
435,2019-11-13,,,,,,,NA
436,2019-11-14,,,,,,,NA
437,2019-11-15,,,,,,,NA
438,2019-11-18,,,,,,,NA
439,2019-11-19,,,,,,,NA
440,2019-11-20,,,,,,,NA
441,2019-11-21,,,,,,,NA
442,2019-11-22,,,,,,,NA
443,2019-11-25,,,,,,,NA
444,2019-11-26,,,,,,,NA
445,2019-11-27,,,,,,,NA
446,2019-11-29,,,,,,,NA
447,2019-12-02,,,,,,,NA
448,2019-12-03,,,,,,,NA
449,2019-12-04,,,,,,,NA
450,2019-12-05,,,,,,,NA
451,2019-12-06,,,,,,,NA
452,2019-12-09,,,,,,,NA
453,2019-12-10,,,,,,,NA
454,2019-12-11,,,,,,,NA
455,2019-12-12,,,,,,,NA
456,2019-12-13,,,,,,,NA
457,2019-12-16,,,,,,,NA
458,2019-12-17,,,,,,,NA
459,2019-12-18,,,,,,,NA
460,2019-12-19,,,,,,,NA
461,2019-12-20,,,,,,,NA
462,2019-12-23,,,,,,,NA
463,2019-12-24,,,,,,,NA
464,2019-12-26,,,,,,,NA
465,2019-12-27,,,,,,,NA
466,2019-12-30,,,,,,,NA
467,2019-12-31,,,,,,,NA
468,2020-01-02,,,,,,,NA
469,2020-01-03,,,,,,,NA
470,2020-01-06,,,,,,,NA
471,2020-01-07,,,,,,,NA
472,2020-01-08,,,,,,,NA
473,2020-01-09,,,,,,,NA
474,2020-01-10,,,,,,,NA
475,2020-01-13,,,,,,,NA
476,2020-01-14,,,,,,,NA
477,2020-01-15,,,,,,,NA
478,2020-01-16,,,,,,,NA
479,2020-01-17,,,,,,,NA
480,2020-01-21,,,,,,,NA
481,2020-01-22,,,,,,,NA
482,2020-01-23,,,,,,,NA
483,2020-01-24,,,,,,,NA
484,2020-01-27,,,,,,,NA
485,2020-01-28,,,,,,,NA
486,2020-01-29,,,,,,,NA
487,2020-01-30,,,,,,,NA
488,2020-01-31,,,,,,,NA
489,2020-02-03,,,,,,,NA
490,2020-02-04,,,,,,,NA
491,2020-02-05,,,,,,,NA
492,2020-02-06,,,,,,,NA
493,2020-02-07,,,,,,,NA
494,2020-02-10,,,,,,,NA
495,2020-02-11,,,,,,,NA
496,2020-02-12,,,,,,,NA
497,2020-02-13,,,,,,,NA
498,2020-02-14,,,,,,,NA
499,2020-02-18,,,,,,,NA
500,2020-02-19,,,,,,,NA
501,2020-02-20,,,,,,,NA
502,2020-02-21,,,,,,,NA
503,2020-02-24,,,,,,,NA
504,2020-02-25,,,,,,,NA
505,2020-02-26,,,,,,,NA
506,2020-02-27,,,,,,,NA
507,2020-02-28,,,,,,,NA
508,2020-03-02,,,,,,,NA
509,2020-03-03,,,,,,,NA
510,2020-03-04,,,,,,,NA
511,2020-03-05,,,,,,,NA
512,2020-03-06,,,,,,,NA
513,2020-03-09,,,,,,,NA
514,2020-03-10,,,,,,,NA
515,2020-03-11,,,,,,,NA
516,2020-03-12,,,,,,,NA
517,2020-03-13,,,,,,,NA
518,2020-03-16,,,,,,,NA
519,2020-03-17,,,,,,,NA
520,2020-03-18,,,,,,,NA
521,2020-03-19,,,,,,,NA
522,2020-03-20,,,,,,,NA
523,2020-03-23,,,,,,,NA
524,2020-03-24,,,,,,,NA
525,2020-03-25,,,,,,,NA
526,2020-03-26,,,,,,,NA
527,2020-03-27,,,,,,,NA
528,2020-03-30,,,,,,,NA
529,2020-03-31,,,,,,,NA
530,2020-04-01,,,,,,,NA
531,2020-04-02,,,,,,,NA
532,2020-04-03,,,,,,,NA
533,2020-04-06,,,,,,,NA
534,2020-04-07,,,,,,,NA
535,2020-04-08,,,,,,,NA
536,2020-04-09,,,,,,,NA
537,2020-04-13,,,,,,,NA
538,2020-04-14,,,,,,,NA
539,2020-04-15,,,,,,,NA
540,2020-04-16,,,,,,,NA
541,2020-04-17,,,,,,,NA
542,2020-04-20,,,,,,,NA
543,2020-04-21,,,,,,,NA
544,2020-04-22,,,,,,,NA
545,2020-04-23,,,,,,,NA
546,2020-04-24,,,,,,,NA
547,2020-04-27,,,,,,,NA
548,2020-04-28,,,,,,,NA
549,2020-04-29,,,,,,,NA
550,2020-04-30,,,,,,,NA
551,2020-05-01,,,,,,,NA
552,2020-05-04,,,,,,,NA
553,2020-05-05,,,,,,,NA
554,2020-05-06,,,,,,,NA
555,2020-05-07,,,,,,,NA
556,2020-05-08,,,,,,,NA
557,2020-05-11,,,,,,,NA
558,2020-05-12,,,,,,,NA
559,2020-05-13,,,,,,,NA
560,2020-05-14,,,,,,,NA
561,2020-05-15,,,,,,,NA
562,2020-05-18,,,,,,,NA
563,2020-05-19,,,,,,,NA
564,2020-05-20,,,,,,,NA
565,2020-05-21,,,,,,,NA
566,2020-05-22,,,,,,,NA
567,2020-05-26,,,,,,,NA
568,2020-05-27,,,,,,,NA
569,2020-05-28,,,,,,,NA
570,2020-05-29,,,,,,,NA
571,2020-06-01,,,,,,,NA
572,2020-06-02,,,,,,,NA
573,2020-06-03,,,,,,,NA
574,2020-06-04,,,,,,,NA
575,2020-06-05,,,,,,,NA
576,2020-06-08,,,,,,,NA
577,2020-06-09,,,,,,,NA
578,2020-06-10,,,,,,,NA
579,2020-06-11,,,,,,,NA
580,2020-06-12,,,,,,,NA
581,2020-06-15,,,,,,,NA
582,2020-06-16,,,,,,,NA
583,2020-06-17,,,,,,,NA
584,2020-06-18,,,,,,,NA
585,2020-06-19,,,,,,,NA
586,2020-06-22,,,,,,,NA
587,2020-06-23,,,,,,,NA
588,2020-06-24,,,,,,,NA
589,2020-06-25,,,,,,,NA
590,2020-06-26,,,,,,,NA
591,2020-06-29,,,,,,,NA
592,2020-06-30,,,,,,,NA
593,2020-07-01,,,,,,,NA
594,2020-07-02,,,,,,,NA
595,2020-07-06,,,,,,,NA
596,2020-07-07,,,,,,,NA
597,2020-07-08,,,,,,,NA
598,2020-07-09,,,,,,,NA
599,2020-07-10,,,,,,,NA
600,2020-07-13,,,,,,,NA
601,2020-07-14,,,,,,,NA
602,2020-07-15,,,,,,,NA
603,2020-07-16,,,,,,,NA
604,2020-07-17,,,,,,,NA
605,2020-07-20,,,,,,,NA
606,2020-07-21,,,,,,,NA
607,2020-07-22,,,,,,,NA
608,2020-07-23,,,,,,,NA
609,2020-07-24,,,,,,,NA
610,2020-07-27,,,,,,,NA
611,2020-07-28,,,,,,,NA
612,2020-07-29,,,,,,,NA
613,2020-07-30,,,,,,,NA
614,2020-07-31,,,,,,,NA
615,2020-08-03,,,,,,,NA
616,2020-08-04,,,,,,,NA
617,2020-08-05,,,,,,,NA
618,2020-08-06,,,,,,,NA
619,2020-08-07,,,,,,,NA
620,2020-08-10,,,,,,,NA
621,2020-08-11,,,,,,,NA
622,2020-08-12,,,,,,,NA
623,2020-08-13,,,,,,,NA
624,2020-08-14,,,,,,,NA
625,2020-08-17,,,,,,,NA
626,2020-08-18,,,,,,,NA
627,2020-08-19,,,,,,,NA
628,2020-08-20,,,,,,,NA
629,2020-08-21,,,,,,,NA
630,2020-08-24,,,,,,,NA
631,2020-08-25,,,,,,,NA
632,2020-08-26,,,,,,,NA
633,2020-08-27,,,,,,,NA
634,2020-08-28,,,,,,,NA
635,2020-08-31,,,,,,,NA
636,2020-09-01,,,,,,,NA
637,2020-09-02,,,,,,,NA
638,2020-09-03,,,,,,,NA
639,2020-09-04,,,,,,,NA
640,2020-09-08,,,,,,,NA
641,2020-09-09,,,,,,,NA
642,2020-09-10,,,,,,,NA
643,2020-09-11,,,,,,,NA
644,2020-09-14,,,,,,,NA
645,2020-09-15,,,,,,,NA
646,2020-09-16,,,,,,,NA
647,2020-09-17,,,,,,,NA
648,2020-09-18,,,,,,,NA
649,2020-09-21,,,,,,,NA
650,2020-09-22,,,,,,,NA
651,2020-09-23,,,,,,,NA
652,2020-09-24,,,,,,,NA
653,2020-09-25,,,,,,,NA
654,2020-09-28,,,,,,,NA
655,2020-09-29,,,,,,,NA
656,2020-09-30,,,,,,,NA
657,2020-10-01,,,,,,,NA
658,2020-10-02,,,,,,,NA
659,2020-10-05,,,,,,,NA
660,2020-10-06,,,,,,,NA
661,2020-10-07,,,,,,,NA
662,2020-10-08,,,,,,,NA
663,2020-10-09,,,,,,,NA
664,2020-10-12,,,,,,,NA
665,2020-10-13,,,,,,,NA
666,2020-10-14,,,,,,,NA
667,2020-10-15,,,,,,,NA
668,2020-10-16,,,,,,,NA
669,2020-10-19,,,,,,,NA
670,2020-10-20,,,,,,,NA
671,2020-10-21,,,,,,,NA
672,2020-10-22,,,,,,,NA
673,2020-10-23,,,,,,,NA
674,2020-10-26,,,,,,,NA
675,2020-10-27,,,,,,,NA
676,2020-10-28,,,,,,,NA
677,2020-10-29,,,,,,,NA
678,2020-10-30,,,,,,,NA
679,2020-11-02,,,,,,,NA
680,2020-11-03,,,,,,,NA
681,2020-11-04,,,,,,,NA
682,2020-11-05,,,,,,,NA
683,2020-11-06,,,,,,,NA
684,2020-11-09,,,,,,,NA
685,2020-11-10,,,,,,,NA
686,2020-11-11,,,,,,,NA
687,2020-11-12,,,,,,,NA
688,2020-11-13,,,,,,,NA
689,2020-11-16,,,,,,,NA
690,2020-11-17,,,,,,,NA
691,2020-11-18,,,,,,,NA
692,2020-11-19,,,,,,,NA
693,2020-11-20,,,,,,,NA
694,2020-11-23,,,,,,,NA
