Date,RI_market
2016-03-21,5416.05
2016-03-22,5430.55
2016-03-23,5371.12
2016-03-24,5376.39
2016-03-25,5376.39
2016-03-28,5368.97
2016-03-29,5459.58
2016-03-30,5485.31
2016-03-31,5485.95
2016-04-01,5536.3
2016-04-04,5512.2
2016-04-05,5458.29
2016-04-06,5544.89
2016-04-07,5463.43
2016-04-08,5466.07
2016-04-11,5446.59
2016-04-12,5490.19
2016-04-13,5575.17
2016-04-14,5573.53
2016-04-15,5564.89
2016-04-18,5589.47
2016-04-19,5567.28
2016-04-20,5576.1
2016-04-21,5573.59
2016-04-22,5528.96
2016-04-25,5517.21
2016-04-26,5508.76
2016-04-27,5480.71
2016-04-28,5415.92
2016-04-29,5382.26
2016-05-02,5429.93
2016-05-03,5368.97
2016-05-04,5327.66
2016-05-05,5320.55
2016-05-06,5342.22
2016-05-09,5358.13
2016-05-10,5425.66
2016-05-11,5370.38
2016-05-12,5344.31
2016-05-13,5322.75
2016-05-16,5388.32
2016-05-17,5323.36
2016-05-18,5349.89
2016-05-19,5319.96
2016-05-20,5384.37
2016-05-23,5380.28
2016-05-24,5488.11
2016-05-25,5526.99
2016-05-26,5535.02
2016-05-27,5571.67
2016-05-30,5571.67
2016-05-31,5588.2
2016-06-01,5593.16
2016-06-02,5614.8
2016-06-03,5582.28
2016-06-06,5611.96
2016-06-07,5604.11
2016-06-08,5619.54
2016-06-09,5601.45
2016-06-10,5529.13
2016-06-13,5477.52
2016-06-14,5472.57
2016-06-15,5463.07
2016-06-16,5474.45
2016-06-17,5424.13
2016-06-20,5465.86
2016-06-21,5473.26
2016-06-22,5473.26
2016-06-23,5548.32
2016-06-24,5319.99
2016-06-27,5191.7
2016-06-28,5302.47
2016-06-29,5401.43
2016-06-30,5473.12
2016-07-01,5496.13
2016-07-04,5496.13
2016-07-05,5452.32
2016-07-06,5493.33
2016-07-07,5513.29
2016-07-08,5603.75
2016-07-11,5639.79
2016-07-12,5678.44
2016-07-13,5659.21
2016-07-14,5691.28
2016-07-15,5686.23
2016-07-18,5715.85
2016-07-19,5693.9
2016-07-20,5754.67
2016-07-21,5736.56
2016-07-22,5766.31
2016-07-25,5763.45
2016-07-26,5777.5
2016-07-27,5811.23
2016-07-28,5828.98
2016-07-29,5837.08
2016-08-01,5862.03
2016-08-02,5809.85
2016-08-03,5835.85
2016-08-04,5845.6
2016-08-05,5907.72
2016-08-08,5898.78
2016-08-09,5912.89
2016-08-10,5889.59
2016-08-11,5917.01
2016-08-12,5922.13
2016-08-15,5955.67
2016-08-16,5918.4
2016-08-17,5920.51
2016-08-18,5933.68
2016-08-19,5931.81
2016-08-22,5938.96
2016-08-23,5956.76
2016-08-24,5909.45
2016-08-25,5903.26
2016-08-26,5910.87
2016-08-29,5926.92
2016-08-30,5916.47
2016-08-31,5905.68
2016-09-01,5921.58
2016-09-02,5947.34
2016-09-05,5947.34
2016-09-06,5976.82
2016-09-07,5986.35
2016-09-08,5958.76
2016-09-09,5807.43
2016-09-12,5905.22
2016-09-13,5841.39
2016-09-14,5863.0
2016-09-15,5949.24
2016-09-16,5943.46
2016-09-19,5932.88
2016-09-20,5940.07
2016-09-21,6001.2
2016-09-22,6051.62
2016-09-23,6013.34
2016-09-26,5958.67
2016-09-27,6013.35
2016-09-28,6028.77
2016-09-29,5972.85
2016-09-30,6021.43
2016-10-03,6010.36
2016-10-04,5997.65
2016-10-05,6027.69
2016-10-06,6017.32
2016-10-07,6000.95
2016-10-10,6042.07
2016-10-11,5949.22
2016-10-12,5940.5
2016-10-13,5911.38
2016-10-14,5912.32
2016-10-17,5896.06
2016-10-18,5945.97
2016-10-19,5949.11
2016-10-20,5943.92
2016-10-21,5961.65
2016-10-24,6021.11
2016-10-25,5991.14
2016-10-26,5953.59
2016-10-27,5914.79
2016-10-28,5885.73
2016-10-31,5884.64
2016-11-01,5844.34
2016-11-02,5790.24
2016-11-03,5740.52
2016-11-04,5727.04
2016-11-07,5863.13
2016-11-08,5894.24
2016-11-09,5959.85
2016-11-10,5912.05
2016-11-11,5944.2
2016-11-14,5923.65
2016-11-15,5991.7
