,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2655,NA,GOGREEN INVESTMENT CORP CL B,GOGN,0,0,0,824.0,No trades done
345,CA1350861060,CANADA GOOSE HDG. (NYS) SBNTD.VTG.SHS.,GOOS,0,0,0,1260.0,No trades done
771,US36257Y1091,GAOTU TECHEDU 3 ADR 3:2,GOTU,0,0,0,701.0,No trades done
2756,NA,INFOTECH WRLS.TECH.INC.,GPSNQ,0,0,0,824.0,No trades done
2003,NA,ALTIMETER GROWTH CORP CL B,GRAB,0,0,0,824.0,No trades done
3312,NA,SMILE BRANDS GROUP,GRIN,0,0,0,824.0,No trades done
2672,NA,GRANITE BCAST.NV.,GRRP,0,0,0,824.0,No trades done
2650,NA,GLOBAL SYNERGY ACQUISITION CORP CL B,GSAQ,0,0,0,824.0,No trades done
2666,NA,GORES HOLDINGS VII INC CL B,GSEV,0,0,0,824.0,No trades done
799,US37733W1053,GLAXOSMITHKLINE SPN.ADR 1:2,GSK,0,0,0,1509.0,No trades done
2618,NA,G SQUARED ASCEND II INC CL B,GSQB,0,0,0,824.0,No trades done
2617,NA,G SQUARED ASCEND I CL B,GSQD,0,0,0,824.0,No trades done
2669,NA,GORES TECHNOLOGY PARTNERS INC CL B,GTPA,0,0,0,824.0,No trades done
2668,NA,GORES TECHNOLOGY PARTNERS II INC CL B,GTPB,0,0,0,824.0,No trades done
2690,NA,GX ACQUISITION CORP II CL B,GXII,0,0,0,824.0,No trades done
2700,NA,HEALTH ASSURANCE ACQUISITION CO CL B,HAAC,0,0,0,824.0,No trades done
2703,NA,HEALTHCARE AI ACQUISITION CO CL B,HAIA,0,0,0,824.0,No trades done
907,CA4436281022,HUDBAY MINERALS (NYS),HBM,0,0,0,1509.0,No trades done
2711,NA,HENNESSY CAPITAL INVESTMENT V CORP CL B,HCIC,0,0,0,824.0,No trades done
2736,NA,HUDSONAEXECUTIVE INVESTMENTACORPAII CL B,HCII,0,0,0,824.0,No trades done
2807,NA,JAWS HURRICANE ACQUISITION CL B,HCNE,0,0,0,824.0,No trades done
862,US40415F1012,HDFC BANK ADR 1:3,HDB,0,0,0,1509.0,No trades done
2612,NA,FTAC HERA ACQUISITION CO CL B,HERA,0,0,0,824.0,No trades done
2716,NA,HH&L ACQUISITION CO CL B,HHLA,0,0,0,824.0,No trades done
2717,NA,HIG ACQUISITION CORP CL B,HIGA,0,0,0,824.0,No trades done
2734,NA,HUDSON EXECUTIVE INVESTMENT CORP III CL B,HIII,0,0,0,824.0,No trades done
2724,NA,HITEK GLOBAL INC CL B,HKIT,0,0,0,824.0,No trades done
2692,NA,HAMILTON LN ALL HDG INC CL B,HLAH,0,0,0,824.0,No trades done
894,US4381283088,HONDA MOTOR ADR 1:1,HMC,0,0,0,1509.0,No trades done
2737,NA,HUMANCOAACQUISITIONACORP CL B,HMCO,0,0,0,824.0,No trades done
853,US4132163001,HARMONY GD.MNG.CO.ADR 1:1,HMY,0,0,0,1509.0,No trades done
904,US4433041005,HUANENG PWR.'H' SPN.ADR 1:40,HNP,0,0,0,1509.0,No trades done
2732,NA,HPX CORP CL B,HPX,0,0,0,824.0,No trades done
888,US4335371070,HIRERIGHT HOLDINGS,HRT,0,0,0,95.0,No trades done
2720,NA,HIGHLAND TRANSCEND PARTNERS I CL B,HTPA,0,0,0,824.0,No trades done
911,US44852D1081,HUYA ADR 1:1,HUYA,0,0,0,969.0,No trades done
2707,NA,HEALTHWELL ACQUISITION CORP I CL B,HWEL,0,0,0,824.0,No trades done
2695,NA,HAWKS ACQUISITION CL B,HWKZ,0,0,0,824.0,No trades done
2697,NA,HAYMAKER ACQUISITION III CL B,HYAC,0,0,0,824.0,No trades done
2731,NA,HORIZON ACQUISITION II CORP CL B,HZON,0,0,0,824.0,No trades done
2790,NA,ION ACQUISITION CORP 3 CL B,IACC,0,0,0,824.0,No trades done
928,US4564631087,INDUSTRIAS BACHOCO SPN. ADR 1:12,IBA,0,0,0,1509.0,No trades done
2739,NA,IBERE PHARMACEUTICALS CL B,IBER,0,0,0,824.0,No trades done
917,US45104G1040,ICICI BK.ADR 1:2,IBN,0,0,0,1509.0,No trades done
2740,NA,ICEBERG CORP.OF AM. DEAD - DUPL.SEE 292075,ICBG,0,0,0,824.0,No trades done
918,IL0002810146,ICL GROUP (NYS),ICL,0,0,0,1509.0,No trades done
945,PAL2400671A3,INTERCORP FINANCIAL SERVICES,IFS,0,0,0,671.0,No trades done
2745,NA,IG ACQUISITION CORP CL B,IGAC,0,0,0,824.0,No trades done
923,US45175B1098,IHUMAN ADR 1:5,IH,0,0,0,361.0,No trades done
944,US45857P8068,INTERCONTINENTAL HTLS. GP.SPN.ADR 1:1,IHG,0,0,0,1509.0,No trades done
922,KYG4701H1092,IHS HOLDING,IHS,0,0,0,106.0,No trades done
2764,NA,INSU ACQUISITION CORP II CL B,IIII,0,0,0,824.0,No trades done
2751,NA,INDIANA MICHIGAN POWER,IMIGN,0,0,0,824.0,No trades done
2763,NA,INSITUFORM EAST INCO.,INEY,0,0,0,824.0,No trades done
2850,NA,KLUDEIN I ACQUISITION CORP CL B,INKA,0,0,0,824.0,No trades done
2774,NA,INTERIORS 'B',INRSA,0,0,0,824.0,No trades done
2767,NA,INTEGRALAACQUISITIONA1 CORP CL B,INTE,0,0,0,824.0,No trades done
2784,NA,INTREPID AVIATION GHG. DEAD - DELETE.28/02/18,INTR,0,0,0,824.0,No trades done
2783,NL0009693779,INTERXION HOLDING DEAD - DELIST.13/03/20,INXN,0,0,0,1002.0,No trades done
3322,NA,SOCIAL CAPITAL HEDSPHA HLDNG IV B,IPOD,0,0,0,824.0,No trades done
3321,NA,SOCIAL CAPITAL HEDOSOPHIA VI CL B,IPOF,0,0,0,824.0,No trades done
2778,NA,INTERPRIVATE II ACQUISITION CL B,IPVA,0,0,0,824.0,No trades done
2780,NA,INTERPRIVATEAIII FINANCIALAPARTNERS CL B,IPVF,0,0,0,824.0,No trades done
2779,NA,INTERPRIVATE IV INFRATEC PARTNERS CL B,IPVI,0,0,0,824.0,No trades done
2792,NA,IPOWER INC CL B,IPW,0,0,0,824.0,No trades done
2771,NA,INTELLIGENT MEDICINE ACQUISITION CL B,IQMD,0,0,0,824.0,No trades done
2794,NA,IRIS ENERGY PTY LTD CL B,IREN,0,0,0,824.0,No trades done
964,US4500472042,IRSA INVERSIONERS Y REP ADR 1:10,IRS,0,0,0,1509.0,No trades done
2795,NA,IRON SPARK I INC CL B,ISAA,0,0,0,824.0,No trades done
966,US45033E1055,ITAU CORPBANCA REG S ADR 1:1500,ITCB,0,0,0,1509.0,No trades done
2798,NA,ITIQUIRA ACQUISITION CORP CL B,ITQ,0,0,0,824.0,No trades done
967,US4655621062,ITAU UNIBANCO BANCO HLDG.ADR 1:1,ITUB,0,0,0,1509.0,No trades done
1298,US6863301015,ORIX SPN.ADR 1:5,IX,0,0,0,1509.0,No trades done
2800,NA,IX ACQUISITION CORP CL B,IXAQ,0,0,0,824.0,No trades done
2805,NA,JATT ACQUISITION CL B,JATT,0,0,0,824.0,No trades done
2802,NA,JACK CREEK INVESTMENT CORP CL B,JCIC,0,0,0,824.0,No trades done
3051,US67075P1030,NUVEEN HIGH INC.DECEMBER 2018 TARGET TERM FD.,JHA,0,0,0,678.0,No trades done
974,US47030M1062,JAMES HARDIE INDS.ADR 1:1,JHX,0,0,0,1509.0,No trades done
981,US47759T1007,JINKOSOLAR HOLDING ADR 1:4,JKS,0,0,0,1509.0,No trades done
2945,NA,MAXPRO CAPITAL ACQUISITION CL B,JMAC,0,0,0,824.0,No trades done
988,US48138M1053,JUMIA TECHS.AMER. DEPY. SHS.1:2,JMIA,0,0,0,738.0,No trades done
2812,NA,JOFF FINTECH ACQUISITION CORP CL B,JOFF,0,0,0,824.0,No trades done
990,US48205B1070,JUPAI HOLDINGS ADR 1:6,JP,0,0,0,1509.0,No trades done
980,US47738D3098,JIANPU TECHNOLOGY ADS 1:20,JT,0,0,0,1089.0,No trades done
2808,NA,JAWS JUGGERNAUT ACQUISITION CL B,JUGG,0,0,0,824.0,No trades done
2817,NA,JUNIPER II CORP CL B,JUN,0,0,0,824.0,No trades done
2848,NA,KKR ACQUISITION HOLDINGS I CL B,KAHC,0,0,0,824.0,No trades done
2847,NA,KISMET ACQUISITION TWO CORP CL B,KAII,0,0,0,824.0,No trades done
995,US48241A1051,KB FINANCIAL GP.ADR 1:1,KB,0,0,0,1509.0,No trades done
2828,NA,KENSINGTON CAPITAL ACQUISITION CL B,KCGI,0,0,0,824.0,No trades done
1003,SG9999012629,KENON HOLDINGS,KEN,0,0,0,1509.0,No trades done
1022,US5006311063,KOREA ELEC.PWR.SPN.ADR 2:1,KEP,0,0,0,1509.0,No trades done
2846,NA,KISMET ACQUISITION THREE CORP CL B,KIII,0,0,0,824.0,No trades done
2849,NA,KL ACQUISITION CORP CL B,KLAQ,0,0,0,824.0,No trades done
2837,NA,KIMMINS CL.B,KMMN,0,0,0,824.0,No trades done
463,US1912411089,COCA-COLA FEMSA ADR 1:10,KOF,0,0,0,1509.0,No trades done
2258,NA,CERBERUSATELECOM ACQUISITIONACORP CL B,KORE,0,0,0,824.0,No trades done
2830,NA,KERNEL GROUP HOLDINGS CL B,KRNL,0,0,0,824.0,No trades done
2819,NA,KADEM SUSTAINABLE IMPACT CORP CL B,KSI,0,0,0,824.0,No trades done
1029,US5012291085,KUKE MUSIC HOLDING ADR 1:1,KUKE,0,0,0,297.0,No trades done
2841,NA,KINGSWOOD ACQUISITION CORP CL B,KWAC,0,0,0,824.0,No trades done
1066,CA53680Q2071,LITHIUM AMERICAS (NYS),LAC,0,0,0,1509.0,No trades done
1034,US50736W2044,LAIX AMERICAN DEPOSITARY SHARES 1:14,LAIX,0,0,0,873.0,No trades done
3515,NA,US LBM HOLDINGS INC,LBM,0,0,0,824.0,No trades done
2875,NA,LBRTY.NAT.BCSH.INCO.GA,LBRB,0,0,0,824.0,No trades done
2868,NA,LANDCADIA HOLDINGS IV INC CL B,LCA,0,0,0,824.0,No trades done
2859,NA,L CATTERTON ASIA ACQUISITION CL B,LCAA,0,0,0,824.0,No trades done
2877,NA,LDH GROWTH CORP I CL B,LDHA,0,0,0,824.0,No trades done
2878,NA,LEAD EDGE GROWTH OPPTU CL B,LEGA,0,0,0,824.0,No trades done
1045,US50187J1088,LEJU HOLDINGS ADR 1:1,LEJU,0,0,0,1509.0,No trades done
413,US16939P1066,CHINA LF.IN.SPN.ADR 'H' 1:5,LFC,0,0,0,1509.0,No trades done
2881,NA,LEFTERIS ACQUISITION CORP CL B,LFTR,0,0,0,824.0,No trades done
2874,NA,LAZARD GROWTH ACQUISITION CORP I CL B,LGAC,0,0,0,824.0,No trades done
2885,NA,LEOAHOLDINGSACORPACL B,LHC,0,0,0,824.0,No trades done
2898,NA,LIBERTY RESOURCES ACQUISITION CO CL B,LIBY,0,0,0,824.0,No trades done
3107,NA,PERIDOT ACQUISITION CORP CL B,LICY,0,0,0,824.0,No trades done
1056,US53225G1022,LIGHTINTHEBOX HLDG.ADR 1:2,LITB,0,0,0,1509.0,No trades done
2912,NA,LOGIST.INNVN.TECHS.CORP. CL B,LITT,0,0,0,824.0,No trades done
2910,NA,LMF ACQUISITION OPPORTUNITIES CL B,LMAO,0,0,0,824.0,No trades done
2216,NA,CA HEALTHCARE ACQUISITION UNITS CL B,LMDX,0,0,0,824.0,No trades done
288,US10554B1044,BRASIL AGRO ON SPN.ADR 1:1,LND,0,0,0,1509.0,No trades done
2909,NA,LIVE OAK MOBILITY ACQUISITION CL B,LOKM,0,0,0,824.0,No trades done
1075,US54150E1047,LOMA NEGRA SPN.ADR 1:5,LOMA,0,0,0,1100.0,No trades done
1052,US50186V1026,LG DISPLAY ADR 2:1,LPL,0,0,0,1509.0,No trades done
1058,CA53229C1077,LIGHTSPEED COMMERCE(NYS),LSPD,0,0,0,654.0,No trades done
1082,US54975P1021,LUFAX HLDG ADR 2:1,LU,0,0,0,346.0,No trades done
2917,NA,LUX HEALTH TECH ACQUISITION CORP CL B,LUXA,0,0,0,824.0,No trades done
2873,NA,LAVA MEDTECH ACQUISITION CORP CL B,LVAC,0,0,0,824.0,No trades done
2887,NA,LEVERE HOLDINGS CL B,LVRA,0,0,0,824.0,No trades done
1071,US5394391099,LLOYDS BANKING GP.SPN. ADR 1:4,LYG,0,0,0,1509.0,No trades done
2971,NA,MISSION ADVANCEMENT CORP CL B,MACC,0,0,0,824.0,No trades done
2988,NA,MOTORCARS AUTO GP.'B',MAGI,0,0,0,824.0,No trades done
2935,NA,MAQUIA CAPITAL ACQUISITION CL B,MAQC,0,0,0,824.0,No trades done
2982,NA,MOONEY AEROS.GP.LTD DEAD - DUPL. 29957D,MASG,0,0,0,824.0,No trades done
2923,NA,M3-BRIGADE ACQUISITION II CORP CL B,MBAC,0,0,0,824.0,No trades done
2924,NA,M3-BRIGADE ACQUISITION III CL B,MBSC,0,0,0,824.0,No trades done
2960,NA,MELI KASZEK PIONEER CORP CL B,MEKA,0,0,0,824.0,No trades done
1163,US60687Y1091,MIZUHO FINANCIAL GROUP 5 ADR 5:1,MFG,0,0,0,1509.0,No trades done
1154,US5948374039,MICRO FOCUS INTL.SPN.ADR 1:1,MFGP,0,0,0,1153.0,No trades done
2983,NA,MORGAN GP.INCO.,MGGP,0,0,0,824.0,No trades done
2940,NA,MASON INDUSTRIAL TECHNOLOGY INC CL B,MIT,0,0,0,824.0,No trades done
2315,NA,COLISEUM ACQUISITION CL B,MITA,0,0,0,824.0,No trades done
2932,NA,MALACCA STRAITS ACQUISITION CO CL B,MLAC,0,0,0,824.0,No trades done
2950,NA,MCLAREN TECHNOLOGY ACQUISITION CL B,MLAI,0,0,0,824.0,No trades done
1158,US66981J1025,MINISO GROUP HOLDING ADR 1:4,MNSO,0,0,0,357.0,No trades done
2525,NA,EVEREST CONSOLIDATOR ACQUISITION CL B,MNTN,0,0,0,824.0,No trades done
1167,US6080121006,MOGU ADR 1:25,MOGU,0,0,0,825.0,No trades done
2986,NA,MOTIVE CAPITAL CORP CL B,MOTV,0,0,0,824.0,No trades done
2961,NA,MERCATO PARTNERS ACQUISITION CL B,MPRA,0,0,0,824.0,No trades done
2958,NA,MEDICUS SCIENCES ACQUISITION CL B,MSAC,0,0,0,824.0,No trades done
1615,US86389T1060,STUDIO CITY INTERNATIONAL ADR 1:4,MSC,0,0,0,858.0,No trades done
2990,NA,MSD ACQUISITION CORP CL B,MSDA,0,0,0,824.0,No trades done
2939,NA,MARTHA STEWART LIVING 'B ',MSO,0,0,0,824.0,No trades done
133,US03938L2034,ARCELORMITTAL ADR 1:1,MT,0,0,0,1509.0,No trades done
2959,NA,MEDTECH ACQUISITION CORP CL B,MTAC,0,0,0,824.0,No trades done
2964,NA,METALS ACQUISITION CORP CL B,MTAL,0,0,0,824.0,No trades done
2987,NA,MOTIVE CAPITAL CORP II CL B,MTVC,0,0,0,824.0,No trades done
1161,US6068221042,MITSUBISHI UFJ FINANCIAL GROUP ADS 1:1,MUFG,0,0,0,1509.0,No trades done
2944,NA,MAVENIR PRIVATE HOLDINGS II LTD CL B,MVNR,0,0,0,824.0,No trades done
1191,US55406W1036,MYT NETHERLANDS PARENT BV ADS 1:1,MYTE,0,0,0,291.0,No trades done
3037,NA,NORTH ATLANTIC ACQUISITION CORP CL B,NAAC,0,0,0,824.0,No trades done
3008,MHY621341046,NAVIOS MRIT.MDSTM.PTNS. DEAD - DELIST.14/12/18,NAP,0,0,0,690.0,No trades done
649,MHY2294C1075,ENETI,NETI,0,0,0,1509.0,No trades done
3020,KYG6455X1079,NETSHOES (CAYMAN) DEAD - DELIST.17/06/19,NETS,0,0,0,547.0,No trades done
1403,US74704P4054,PUXIN AMERICAN DEPOSITARY SHARES 1:20,NEW,0,0,0,945.0,No trades done
1227,LU1701428291,NEXA RESOURCES,NEXA,0,0,0,1103.0,No trades done
2752,NA,INFINITE ACQUISITION CL B,NFNT,0,0,0,824.0,No trades done
2504,NA,ENPHYS ACQUISITION CORP CL B,NFYS,0,0,0,824.0,No trades done
1196,US6362744095,NAT.GRID ADR 1:5,NGG,0,0,0,1509.0,No trades done
1235,US62914V1061,NIO ADR 1:1,NIO,0,0,0,884.0,No trades done
1243,US65535H2085,NOMURA HDG.ADR 1:1,NMR,0,0,0,1509.0,No trades done
1238,US65487X1028,NOAH HOLDINGS 'A' 2:1 ADR,NOAH,0,0,0,1509.0,No trades done
1240,US6549022043,NOKIA SPN.ADR 1:1,NOK,0,0,0,1509.0,No trades done
1241,VGG6564A1057,NOMAD FOODS,NOMD,0,0,0,1509.0,No trades done
1252,CA66979W8429,NOUVEAU MONDE (NYS) GRAPHITE,NOU,0,0,0,1509.0,No trades done
3024,NA,NEW PROVIDENCE ACQUISITION II CL B,NPAB,0,0,0,824.0,No trades done
3036,NA,NOBLE ROCK ACQUISITION CL B,NRAC,0,0,0,824.0,No trades done
3044,NA,NORTHERN STAR INVESTMENT II CL B,NSTB,0,0,0,824.0,No trades done
3043,NA,NORTHERN STAR INVESTMENT CORP III CL B,NSTC,0,0,0,824.0,No trades done
3045,NA,NORTHERN STAR INVESTMENT IV CL B,NSTD,0,0,0,824.0,No trades done
3005,NA,NATIONAL STEEL CORP.,NSTLQ,0,0,0,824.0,No trades done
219,BMG0772R2087,BANK OF NT BUTTERFIELD &.SON,NTB,0,0,0,1384.0,No trades done
1203,US63884N1081,NATURA &CO HLDG. AMER. DEPY.SHS.1:2,NTCO,0,0,0,554.0,No trades done
1195,VGG639071023,NAM TAI PROPERTY,NTP,0,0,0,1509.0,No trades done
1206,US63905A2006,NATUZZI AMERICAN DEPOSITARY SHARES 1:5,NTZ,0,0,0,1509.0,No trades done
1209,MHY621321089,NAVIGATOR HOLDINGS,NVGS,0,0,0,1509.0,No trades done
1255,US6701002056,NOVO NORDISK 'B' ADR 1:1,NVO,0,0,0,1509.0,No trades done
1254,US66987V1098,NOVARTIS 'B' SPN.ADR 1:1,NVS,0,0,0,1509.0,No trades done
3025,NA,NEW VISTA ACQUISITION CORP CL B,NVSA,0,0,0,824.0,No trades done
1207,US6390571080,NATWEST GROUP ADR 1:2,NWG,0,0,0,1509.0,No trades done
3054,NA,OAKTREE ACQUISITION II CORP CL B,OACB,0,0,0,824.0,No trades done
3057,NA,OCA ACQUISITION CORP CL B,OCAX,0,0,0,824.0,No trades done
1283,US68248T1051,ONECONNECT FINL. TECH. ADR 1:3,OCFT,0,0,0,568.0,No trades done
1286,US68277G1076,ONION GLOBAL 10:1 ADR,OG,0,0,0,217.0,No trades done
3076,NA,ORION ACQUISITION CORP CL B,OHPA,0,0,0,824.0,No trades done
3063,NA,OMNILIT ACQUISITION CORP CL B,OLITU,0,0,0,824.0,No trades done
3070,NA,ONS ACQUISITION CO CL B,ONS.U,0,0,0,824.0,No trades done
3071,NA,ONYX ACQUISITION I CO CL B,ONYX,0,0,0,824.0,No trades done
2931,NA,MAGNUM OPUS ACQUISITION CL B,OPA,0,0,0,824.0,No trades done
1302,CA68827L1013,OSISKO GD.ROYALTIES(NYS),OR,0,0,0,1509.0,No trades done
1292,US6840601065,ORANGE ADR 1:1,ORAN,0,0,0,1509.0,No trades done
3077,NA,ORION BIOTECH OPPORTUNITIES CL B,ORIA,0,0,0,824.0,No trades done
3080,NA,OSIRIS ACQUISITION CORP CL B,OSI,0,0,0,824.0,No trades done
3084,NA,OYSTER ENTERPRISES ACQUISITION CL B,OSTR,0,0,0,824.0,No trades done
3058,NA,OCEANTECH ACQUISITIONS I CL B,OTEC,0,0,0,824.0,No trades done
3083,NA,OXUS ACQUISITION CORP CL B,OXUS,0,0,0,824.0,No trades done
3093,US6983541078,PANDORA MEDIA DEAD - DELIST.01/02/19,P,0,0,0,722.0,No trades done
834,US4005061019,GRUPO AEROPORTUARIO DEL PACIFICO SR.B ADR 1:10,PAC,0,0,0,1509.0,No trades done
3125,NA,PIONEER MERGER CORP CL B,PACX,0,0,0,824.0,No trades done
1314,KYG687071012,PAGSEGURO DIGITAL A,PAGS,0,0,0,1044.0,No trades done
1316,US6976602077,PAMPA ENERGIA ADR 1:25,PAM,0,0,0,1509.0,No trades done
3163,NA,PROVIDENT ACQUISITION CORP CL B,PAQC,0,0,0,824.0,No trades done
1347,US71654V4086,PETROLEO BRASILEIRO ADR 1:2,PBR,0,0,0,1509.0,No trades done
3106,NA,PERCEPTION CAPITAL II CL B,PCCT,0,0,0,824.0,No trades done
2073,NA,ARIZONA LAND INC.'B',PCFO,0,0,0,824.0,No trades done
3095,NA,PARSEC CAPITAL ACQUISITIONS CORP CL B,PCX,0,0,0,824.0,No trades done
3108,NA,PERIDOT ACQUISITION CORP II CL B,PDOT,0,0,0,824.0,No trades done
3101,NA,PEGASUS COMMS.'B',PEGX,0,0,0,824.0,No trades done
3097,NA,PATHFINDER ACQUISITION CORP CL B,PFDR,0,0,0,824.0,No trades done
3145,NA,PORTAGE FINTECH ACQUISITION CL B,PFTA,0,0,0,824.0,No trades done
1019,US5004723038,KONINKLIJKE PHILIPS ADR 1:1,PHG,0,0,0,1509.0,No trades done
1368,US69344D4088,PLDT SPN.ADR 1:1,PHI,0,0,0,1509.0,No trades done
3170,NA,PYROPHYTE ACQUISITION CORP CL B,PHYT,0,0,0,824.0,No trades done
3153,NA,PRIME IMPACT ACQUISITION I CL B,PIAI,0,0,0,824.0,No trades done
3126,NA,PIVOTAL INVESTMENT CORP III CL B,PICC,0,0,0,824.0,No trades done
3120,NA,PINE ISLAND ACQUISITION CORP CL B,PIPP,0,0,0,824.0,No trades done
1374,US6934831099,POSCO HDG.AMER. DEPY. SHS.4:1,PKX,0,0,0,1509.0,No trades done
3155,NA,PRIVETERRA ACQUISITION CORP CL B,PMGM,0,0,0,824.0,No trades done
3136,NA,PML 'B',PMLN,0,0,0,824.0,No trades done
3137,NA,PMV CONSUMER ACQ CL B,PMVC,0,0,0,824.0,No trades done
3142,NA,PONTEM CORP CL B,PNTM,0,0,0,824.0,No trades done
2040,NA,ANGEL POND HOLDINGS CL B,POND,0,0,0,824.0,No trades done
3141,NA,PONO CAPITAL CORP CL B,PONO,0,0,0,824.0,No trades done
3149,NA,POWEREDABRANDS CL B,POW,0,0,0,824.0,No trades done
3138,NA,POEMA GLOBAL HOLDINGS CORP CL B,PPGH,0,0,0,824.0,No trades done
3119,NA,PHP VENTURES ACQUISITION CORP CL B,PPHP,0,0,0,824.0,No trades done
3157,NA,PROMMIS SOLUTIONS HLDG.,PRMS,0,0,0,824.0,No trades done
2251,NA,CC NEUBERGER PRINCIPAL HLD CL B,PRPB,0,0,0,824.0,No trades done
2250,NA,CC NEUBERGER PRCL.HDG. III CL B,PRPC,0,0,0,824.0,No trades done
3162,NA,PROSPECTOR CAPITAL CORP CL B,PRSR,0,0,0,824.0,No trades done
3158,NA,PROPERTY SOLUTIONS ACQUISITION CORP II CL C,PSAG,0,0,0,824.0,No trades done
1328,BMG6964L1072,PAYSAFE,PSFE,0,0,0,361.0,No trades done
1331,US7050151056,PEARSON PLC.SPN.ADR 1:1,PSO,0,0,0,1509.0,No trades done
3148,NA,POST HOLDINGS PARTNERING CORP CL B,PSPC,0,0,0,824.0,No trades done
3139,NA,POLAR STAR REALTY TRUST DEAD - DELETE.23/11/18,PSRT,0,0,0,824.0,No trades done
3160,NA,PROPTECH INVEST II CL B,PTIC,0,0,0,824.0,No trades done
3121,NA,PINE TECHNOLOGY ACQUISITION CORP CL B,PTOC,0,0,0,824.0,No trades done
1346,US71646E1001,PETROCHINA SPN.ADR 1:100,PTR,0,0,0,1509.0,No trades done
3165,NA,PUBCO 'B',PUBO,0,0,0,824.0,No trades done
1396,US74435K2042,PRUDENTIAL ADR 1:2,PUK,0,0,0,1509.0,No trades done
3152,NA,PRIMAVERA CAPITAL ACQUISITION CORP CL B,PV,0,0,0,824.0,No trades done
3150,NA,POWERUP ACQUISITION CORP CL B,PWUPU,0,0,0,824.0,No trades done
1413,US7477981069,QUDIAN ADR 1:1,QD,0,0,0,1110.0,No trades done
1407,NL0012169213,QIAGEN,QGEN,0,0,0,1509.0,No trades done
450,US18900M1045,CLOOPEN GROUP HOLDING ADR 1:2,RAAS,0,0,0,278.0,No trades done
713,NL0011585146,FERRARI,RACE,0,0,0,1509.0,No trades done
2446,NA,DRAPER OAKWOOD TEC ACQ CL C,RBZHF,0,0,0,824.0,No trades done
3186,NA,RCFAACQUISITIONACORP CL B,RCFA,0,0,0,824.0,No trades done
3188,NA,RECHARGE ACQUISITION CORP CL B,RCHG,0,0,0,824.0,No trades done
1467,CA7751092007,ROGERS COMMS.'B' (NYS),RCI.B,0,0,0,1509.0,No trades done
3226,NA,ROMAN DBDR TECH ACQUISITION II CL B,RDTXU,0,0,0,824.0,No trades done
590,US2561352038,DR.REDDY'S LABS.ADR 1:1,RDY,0,0,0,1509.0,No trades done
1437,US7595301083,RELX ADR 1:1,RELX,0,0,0,1509.0,No trades done
1440,US7598923008,RENREN ADR 1:45,RENN,0,0,0,1509.0,No trades done
178,US00138L1089,ATRENEW 3 ADR 3:2,RERE,0,0,0,188.0,No trades done
3177,NA,R&G FINANCIAL 'A',RGFCQ,0,0,0,824.0,No trades done
3230,NA,ROUGE INDUSTRIES,RGID,0,0,0,824.0,No trades done
1968,NA,AGRICO ACQUISITION CORP CL B,RICO,0,0,0,824.0,No trades done
1454,US7672041008,RIO TINTO SPN.ADR 1:1,RIO,0,0,0,1509.0,No trades done
1460,US74969N1037,RLX TECH.AMER.DEPY. SHS. 1:1,RLX,0,0,0,290.0,No trades done
3218,NA,RMG ACQUISITION CORP III CL B,RMGC,0,0,0,824.0,No trades done
3219,NA,RMG ACQUISITION CORPORATION II CL B,RNW,0,0,0,824.0,No trades done
3187,NA,REALNETWORKS SPC.,RNWKD,0,0,0,824.0,No trades done
3202,NA,RETURN ON INVESTMENT,ROIE,0,0,0,824.0,No trades done
3209,NA,RICE ACQUISITION CORP II CL B,RONI,0,0,0,824.0,No trades done
3228,NA,ROSE HILL ACQUISITION CORP CL B,ROSE,0,0,0,824.0,No trades done
3229,NA,ROSS ACQUISITION II CORP CL B,ROSS,0,0,0,824.0,No trades done
3212,NA,RIGEL RESOURCE ACQUISITION UNITS CL B,RRAC,0,0,0,824.0,No trades done
3196,NA,REMORA ROYALTIES INC CL B,RRI,0,0,0,824.0,No trades done
3237,NA,RXR ACQUISITION CORP CL B,RXRA,0,0,0,824.0,No trades done
1480,CA7800871021,RYL.BK.OF CANADA MNL. (NYS),RY,0,0,0,1509.0,No trades done
1477,US74979W1018,RYB EDUCATION ADR 1:1 CL.A,RYB,0,0,0,1125.0,No trades done
3240,NA,SAGALIAM ACQUISITION CORP CL B,SAGA,0,0,0,824.0,No trades done
3244,NA,SANABY HEALTH ACQUISITION I CL B,SANB,0,0,0,824.0,No trades done
1494,US8030542042,SAP AE ADR 1:1,SAP,0,0,0,1509.0,No trades done
2261,NA,CF ACQUISITION V CORP CL B,SATL,0,0,0,824.0,No trades done
1484,MHY7388L1039,SAFE BULKERS,SB,0,0,0,1509.0,No trades done
3245,NA,SANDBRIDGE X2 CORP CL B,SBII,0,0,0,824.0,No trades done
3291,NA,SILV.BOW ANTIQUE AVTN.,SBQA,0,0,0,824.0,No trades done
1483,US7856881021,SABINE ROYALTY TST.,SBR,0,0,0,1509.0,No trades done
428,US20441A1025,CIA.SANMT.BASICO SPN.ADR 1:1,SBS,0,0,0,1509.0,No trades done
1533,US82575P1075,SIBANYE STILLWATER ADR 1:4,SBSW,0,0,0,1509.0,No trades done
3378,NA,STRATIM CLOUD ACQUISITION CORP CL B,SCAQ,0,0,0,824.0,No trades done
