,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
1994,NA,ALPINE 4 TECHNOLOGIES LTD,ALPP,16,5,3,824.0,Missing ISIN
1997,NA,ALTAIR ENGINEERING INC CL B,ALTR,845,35,6,824.0,Missing ISIN
2004,NA,ALTITUDE ACQUISITION CORP CL B,ALTU,1,1,1,824.0,Missing ISIN
1954,NA,ADVANCED MERGER PARTNERS INC CL B,AMPI,1,1,1,824.0,Missing ISIN
2035,NA,AMPLITUDE INC CL B,AMPL,102,33,7,824.0,Missing ISIN
2249,NA,CBREAACQUISITION HOLDINGS CL B,AMPS,21,11,3,824.0,Missing ISIN
2023,NA,AMERICAN SOFTWARE CLASS B,AMSWA,861,16,8,824.0,Missing ISIN
2037,NA,ANADIGICS NON VOTING,ANAD,529,21,7,824.0,Missing ISIN
2155,NA,BIOSANTE PHARMS.'C',ANIP,481,38,8,824.0,Missing ISIN
1955,NA,ADVANCED PHOTONIX 'B' DEAD - 11/05/15,API,46,12,5,824.0,Missing ISIN
2049,NA,APOLLO GP.'B' DEAD - 02/02/17,APOL,897,52,9,824.0,Missing ISIN
2053,NA,APPLOVIN CORP CL B,APP,71,17,6,824.0,Missing ISIN
2052,NA,APPIAN CORP CL B,APPN,491,28,7,824.0,Missing ISIN
2050,NA,APOLLO STRATEGIC GROWTH CAPITAL CL B,APSG,25,22,2,824.0,Missing ISIN
2054,NA,APPTIO INC CLASS B,APTI,200,16,7,824.0,Missing ISIN
2069,NA,ARHAUS INC CL B,ARHS,19,7,3,824.0,Missing ISIN
2696,NA,HAYMAKER ACQUISITION CORP CL B,ARKO,7,5,3,824.0,Missing ISIN
1985,NA,ALLIANCE RSO.PTNS.L P SUBORDINATE UNITS,ARLP,396,25,8,824.0,Missing ISIN
2080,NA,ARYA SCIENCES ACQUISITION CORP IV CL B,ARYD,2,2,1,824.0,Missing ISIN
2082,NA,ARYA SCIENCES ACQUISITION V CL B,ARYE,2,2,1,824.0,Missing ISIN
2099,NA,ATLANTIC AVENUE ACQUISITION CO CL B,ASAQ,7,1,2,824.0,Missing ISIN
2726,NA,HOLICITY INC CL B,ASTR,39,11,5,824.0,Missing ISIN
3023,NA,NEW PROVIDENCE ACQUISITION CL B,ASTS,16,12,3,824.0,Missing ISIN
2365,NA,CROSS (A.T ) COMPANY CLASS B,ATX,48,7,5,824.0,Missing ISIN
2112,NA,AVANIR PHARMS.'B',AVNR,245,30,8,824.0,Missing ISIN
2047,NA,APEX TECHNOLOGY ACQUISITION CL B,AVPT,37,11,4,824.0,Missing ISIN
2007,NA,AM.WEST HOLDINGS 'A',AWA,29,20,5,824.0,Missing ISIN
2121,NA,AZIYO BIOLOGICS INC CL B,AZYO,15,6,6,824.0,Missing ISIN
2129,NA,BANDWIDTH INC CL B,BAND,567,20,9,824.0,Missing ISIN
2152,NA,BIOATLA INC CL B,BCAB,78,9,7,824.0,Missing ISIN
2103,NA,ATRECA INC CL B,BCEL,99,14,7,824.0,Missing ISIN
2186,NA,BRADLEY PHARMS.'B',BDY,37,18,6,824.0,Missing ISIN
2139,NA,BEA SYSTEMS 'A',BEAS,387,24,8,824.0,Missing ISIN
3363,NA,STAR PEAK CORP II CL B,BHIL,10,7,3,824.0,Missing ISIN
2150,NA,BIGCOMMERCE HOLDINGS INC CL B,BIGC,301,23,8,824.0,Missing ISIN
2210,NA,BUSH INDUSTRIES INC CLASS B,BIND,15,11,4,824.0,Missing ISIN
1982,NA,ALLBIRDS INC CL B,BIRD,21,12,6,824.0,Missing ISIN
2157,NA,BITSTREAM 'B',BITS,307,17,8,824.0,Missing ISIN
3571,NA,VPC IMPACT ACQUISITION HOLDINGS CL B,BKKT,52,21,6,824.0,Missing ISIN
3081,NA,OSPREY TECH.ACQ.RED CL B,BKSY,21,11,4,824.0,Missing ISIN
2535,NA,EXPERIENCE INVESTMENT CL B,BLDE,61,14,7,824.0,Missing ISIN
2143,NA,BELONG ACQUISTION CORP CL B,BLNG,1,1,1,824.0,Missing ISIN
2138,NA,BCLS ACQUISITION CORP CL B,BLSA,3,3,1,824.0,Missing ISIN
2126,NA,BACKBLAZE INC CL B,BLZE,144,10,5,824.0,Missing ISIN
2206,NA,BUMBLE INC CL B,BMBL,31,13,5,824.0,Missing ISIN
2184,NA,BOSTON OMAHA CORP CLASS B,BOC,34,11,3,824.0,Missing ISIN
2137,NA,BAUSCH & LOMB INC. CLASS B,BOL,369,35,9,824.0,Missing ISIN
2796,NA,ISOS ACQUISITION CORP CL B,BOWL,30,11,6,824.0,Missing ISIN
2123,NA,B RILEY PRINCIPAL 250 MERGER CO CL B,BRIV,2,1,1,824.0,Missing ISIN
2202,NA,BRPAGROUPAINC CL B,BRP,166,27,7,824.0,Missing ISIN
2122,NA,B RILEY PRINCIPAL 150 MERGER CORP CL B,BRPM,9,8,1,824.0,Missing ISIN
2147,NA,BERRY PETROLEUM CL.B DEAD - 17/12/13,BRY,136,18,8,824.0,Missing ISIN
2187,NA,BRAZE INC CL B,BRZE,76,20,5,824.0,Missing ISIN
2149,NA,BIG SKY GROWTH PARTNERS CL B,BSKY,1,1,1,824.0,Missing ISIN
2159,NA,BLACK STONE MINERALS LP CL B,BSM,474,22,8,824.0,Missing ISIN
2146,NA,BENTLEY SYSTEMS INC CL B,BSY,219,13,8,824.0,Missing ISIN
1936,NA,890 5TH AVENUE PARTNERS INC CL B,BZFD,50,11,5,824.0,Missing ISIN
2217,NA,CABELA'S INCORPORATED,CAB,606,28,9,824.0,Missing ISIN
2226,NA,CAL-MAINE FOODS 'A',CALM,542,26,8,824.0,Missing ISIN
2236,NA,CARGURUS INC CL B,CARG,1069,30,7,824.0,Missing ISIN
2241,NA,CASCADE ACQUISITION CORP CL B,CAS,166,17,6,824.0,Missing ISIN
2689,NA,GX ACQUISITION CORP CL B,CELU,25,19,4,824.0,Missing ISIN
2257,NA,CERBCO 'B',CERB,10,4,3,824.0,Missing ISIN
2081,NA,ARYA SCIENCES ACQUISITION II CORP CL B,CERE,50,11,3,824.0,Missing ISIN
2264,NA,CFC INTL.'B',CFCI,6,6,3,824.0,Missing ISIN
2263,NA,CFAACQUISITIONAVIIIACORP CL B,CFFE,1,1,1,824.0,Missing ISIN
2262,NA,CF ACQUISITION VII CORP CL B,CFFS,1,1,1,824.0,Missing ISIN
2260,NA,CF ACQUISITION IV CORP CL B,CFIV,1,1,1,824.0,Missing ISIN
2330,NA,CONFLUENT INC CL B,CFLT,68,21,5,824.0,Missing ISIN
2259,NA,CF ACQUISITION CORP VI CL B,CFVI,1,1,1,824.0,Missing ISIN
2475,NA,EDUTREK INTL.'B' DEAD - 30/09/14,CHDX,313,22,9,824.0,Missing ISIN
3569,NA,VOICE DIARY,CHRI,7,4,3,824.0,Missing ISIN
2237,NA,CARMIKE CINEMAS CLASS B,CKEC,431,30,9,824.0,Missing ISIN
2267,NA,CHECKPOINT THERAPEUTICS INC CL B,CKPT,48,8,4,824.0,Missing ISIN
3516,NA,US LEC 'B',CLEC,104,18,5,824.0,Missing ISIN
2304,NA,CLOVER LEAF CAPITAL CORP CL B,CLOE,2,2,1,824.0,Missing ISIN
2391,NA,DEERFIELD HEALTHCARE TECH CORP CL B,CMAX,14,11,4,824.0,Missing ISIN
2329,NA,CONCORD ACQUISITION CORP CL B,CND,1,1,1,824.0,Missing ISIN
2255,NA,CENTIV 'B',CNTV,14,1,3,824.0,Missing ISIN
2310,NA,COINBASE GLOBAL INC CL B,COIN,190,17,8,824.0,Missing ISIN
3169,NA,PWR.DIG.INFR.ACQ.CORP CL B,CORZ,17,5,3,824.0,Missing ISIN
2360,NA,COX COMMS.'C',COX,79,23,8,824.0,Missing ISIN
2346,NA,COPANO ENERGY,CPNO,345,28,8,824.0,Missing ISIN
2362,NA,CRESCENT ENERGY CO CL B,CRGY,22,14,2,824.0,Missing ISIN
2366,NA,CROWDSTRIKE HOLDINGS INC CL B,CRWD,678,20,6,824.0,Missing ISIN
2367,NA,CROWN MEDIA HOLDINGS 'B' DEAD - 03/05/16,CRWN,25,12,2,824.0,Missing ISIN
2168,NA,BLUE WATER ACQUISITION CL B,CRXT,21,13,3,824.0,Missing ISIN
2273,NA,CHICKEN SOUP FOR THE SOUL CL B,CSSE,77,13,6,824.0,Missing ISIN
2371,NA,CTI GP.'B',CTIG,72,9,5,824.0,Missing ISIN
2789,NA,ION ACQUISITION CORP 2 LTD CL B,CTV,18,10,2,824.0,Missing ISIN
3328,NA,SOFTWARE ACQUISITION GROUP CL B,CURI,58,14,4,824.0,Missing ISIN
2218,NA,CABLEVISION SYS.'B' DEAD - 21/06/16,CVC,713,46,9,824.0,Missing ISIN
2359,NA,COVENANT TRANSPORT 'B',CVLG,653,43,8,824.0,Missing ISIN
2444,NA,DRAGONEER GROWTH OPPORTUNITIES II CL B,CVT,19,13,4,824.0,Missing ISIN
2243,NA,CASELLA WST.SYS.'B',CWST,663,38,8,824.0,Missing ISIN
3365,NA,STARBOARD VALUE ACQUISITION CORP CL B,CYXT,29,17,6,824.0,Missing ISIN
2293,NA,CITIZENS BKSH.NON VOTING,CZBS,439,18,4,824.0,Missing ISIN
2376,NA,DA32 LIFE SCIENCE TECH ACQUISITION CORP CL B,DALS,8,5,2,824.0,Missing ISIN
3573,NA,VPC IPCT.ACQ.HDG.III CL B,DAVE,16,12,3,824.0,Missing ISIN
2450,NA,DROPBOX INC CL B,DBX,388,23,8,824.0,Missing ISIN
2379,NA,DATADOG INC CL B,DDOG,715,20,7,824.0,Missing ISIN
2395,NA,DELPHI FINL.GP.'B' DEAD - 16/05/12,DFG,171,17,8,824.0,Missing ISIN
2447,NA,DREAM FINDERS HOMES INC CL B,DFH,31,11,4,824.0,Missing ISIN
2404,NA,DIAMOND HILL INV.GP.'B',DHIL,257,21,8,824.0,Missing ISIN
2415,NA,DILA CAPITAL ACQUISITION CL B,DILA,4,2,1,824.0,Missing ISIN
2442,NA,DRAFTKINGS INC CL B,DKNG,82,14,3,824.0,Missing ISIN
2389,NA,DEEP LAKE CAPITAL ACQUISITION CO CL B,DLCA,3,3,1,824.0,Missing ISIN
3318,NA,SOARING EAGLE ACQUISITION CORP CL B,DNA,20,11,4,824.0,Missing ISIN
3326,NA,SOCIALACAPITALASUVRETTA HOLDINGS I CL B,DNAA,4,2,2,824.0,Missing ISIN
3323,NA,SOCIAL CAPITAL SUVRETTA HOLDINGS CL B,DNAB,1,1,1,824.0,Missing ISIN
3324,NA,SOCIAL CAPITAL SUVRETTA HOLDINGS IV CL B,DNAD,1,1,1,824.0,Missing ISIN
2431,NA,DOGS INTERNATIONAL,DOGN,1,1,1,824.0,Missing ISIN
2435,NA,DOMO INC CL B,DOMO,98,13,7,824.0,Missing ISIN
2399,NA,DESERTAPEAKAMINERALSAINC CL B,DPM,4,4,2,824.0,Missing ISIN
2455,NA,DURA AUTV.SYS.'B',DRRA,72,19,6,824.0,Missing ISIN
2452,NA,DUDDELL STREET ACQUISITION CL B,DSAC,18,16,4,824.0,Missing ISIN
3553,NA,VIANT TECHNOLOGY INC CL B,DSP,28,7,6,824.0,Missing ISIN
2407,NA,DIAMONDCLUSTER INTL.'B',DTPI,333,18,8,824.0,Missing ISIN
2454,NA,DUNE ACQUISITION CORP CL B,DUNE,1,1,1,824.0,Missing ISIN
2377,NA,DAN RIVER 'B',DVERQ,32,15,4,824.0,Missing ISIN
2464,NA,EASYLINK SVS.'B',EASY,43,17,5,824.0,Missing ISIN
2471,NA,EDISON SCHOOLS 'B',EDSN,11,8,1,824.0,Missing ISIN
2484,NA,EMPIRE ENERGY CORP.,EEGC,4,3,3,824.0,Missing ISIN
2469,NA,ECOLOGY & ENVM.'B',EEI,286,25,7,824.0,Missing ISIN
2911,NA,LOCUST WALK ACQUISITION CORP CL B,EFTR,37,10,4,824.0,Missing ISIN
2593,NA,FORUM MERGER III CORP CL B,ELMS,12,8,3,824.0,Missing ISIN
2479,NA,ELECTROPURE 'B',ELTP,339,21,9,824.0,Missing ISIN
2482,NA,EMBARK TECHNOLOGY INC CL B,EMBK,13,5,2,824.0,Missing ISIN
2483,NA,EMERGE INTERACTIVE 'B',EMRG,24,9,5,824.0,Missing ISIN
2125,NA,B RILEY PRINCIPAL MERGER II CORP CL B,EOSE,59,13,6,824.0,Missing ISIN
2486,NA,EMPWM.& ICSN.CAP.I CORP. CL B,EPWR,1,1,1,824.0,Missing ISIN
2305,NA,CM LIFE SCIENCES III INC CL B,EQRX,11,9,2,824.0,Missing ISIN
2776,NA,INTERNET COM.'B',ESIC,497,17,9,824.0,Missing ISIN
2536,NA,EXPRESS SCRIPTS 'B',ESRX,580,44,8,824.0,Missing ISIN
2478,NA,ELECTRONIC TELE-COMM. 'B',ETCIA,14,4,2,824.0,Missing ISIN
2512,NA,EQ.TECHS.& RES.'B',ETCR,15,3,2,824.0,Missing ISIN
2527,NA,EVERQUOTE INC CL B,EVER,506,32,9,824.0,Missing ISIN
2283,NA,CIM.CHGE.CRISIS RL.IPCT. I ACQ CL B,EVGO,12,7,2,824.0,Missing ISIN
2526,NA,EVERLAST WWD.'A',EVST,45,14,6,824.0,Missing ISIN
