Date,RI_market
2016-03-21,14027.54
2016-03-22,13994.51
2016-03-23,13865.17
2016-03-24,13848.21
2016-03-25,13848.21
2016-03-28,13877.01
2016-03-29,13996.38
2016-03-30,14061.56
2016-03-31,14021.72
2016-04-01,14039.67
2016-04-04,13990.25
2016-04-05,13822.79
2016-04-06,13965.5
2016-04-07,13808.25
2016-04-08,13911.04
2016-04-11,13904.05
2016-04-12,14075.07
2016-04-13,14243.21
2016-04-14,14245.49
2016-04-15,14239.07
2016-04-18,14334.71
2016-04-19,14461.85
2016-04-20,14477.18
2016-04-21,14378.0
2016-04-22,14455.26
2016-04-25,14393.58
2016-04-26,14473.13
2016-04-27,14543.82
2016-04-28,14420.6
2016-04-29,14360.99
2016-05-02,14442.93
2016-05-03,14263.53
2016-05-04,14157.41
2016-05-05,14154.01
2016-05-06,14193.56
2016-05-09,14170.01
2016-05-10,14356.36
2016-05-11,14235.77
2016-05-12,14242.04
2016-05-13,14096.96
2016-05-16,14243.52
2016-05-17,14142.28
2016-05-18,14123.32
2016-05-19,14058.48
2016-05-20,14141.62
2016-05-23,14109.29
2016-05-24,14284.74
2016-05-25,14413.87
2016-05-26,14406.3
2016-05-27,14449.81
2016-05-30,14449.81
2016-05-31,14411.85
2016-06-01,14435.69
2016-06-02,14482.4
2016-06-03,14483.45
2016-06-06,14576.61
2016-06-07,14638.86
2016-06-08,14695.78
2016-06-09,14629.31
2016-06-10,14431.02
2016-06-13,14301.51
2016-06-14,14227.17
2016-06-15,14231.73
2016-06-16,14271.19
2016-06-17,14306.15
2016-06-20,14447.68
2016-06-21,14505.2
2016-06-22,14480.93
2016-06-23,14713.67
2016-06-24,14081.19
2016-06-27,13794.25
2016-06-28,14058.13
2016-06-29,14321.89
2016-06-30,14515.25
2016-07-01,14553.22
2016-07-04,14553.22
2016-07-05,14406.34
2016-07-06,14456.25
2016-07-07,14419.45
2016-07-08,14639.18
2016-07-11,14715.93
2016-07-12,14854.21
2016-07-13,14866.0
2016-07-14,14938.95
2016-07-15,14920.24
2016-07-18,14948.57
2016-07-19,14901.54
2016-07-20,14951.13
2016-07-21,14903.64
2016-07-22,14968.6
2016-07-25,14895.82
2016-07-26,14924.73
2016-07-27,14879.96
2016-07-28,14887.24
2016-07-29,14944.78
2016-08-01,14868.21
2016-08-02,14772.6
2016-08-03,14825.15
2016-08-04,14843.07
2016-08-05,14948.42
2016-08-08,14956.91
2016-08-09,14980.24
2016-08-10,14952.41
2016-08-11,15040.92
2016-08-12,15022.84
2016-08-15,15074.38
2016-08-16,15007.26
2016-08-17,15031.37
2016-08-18,15085.47
2016-08-19,15040.34
2016-08-22,15022.2
2016-08-23,15066.26
2016-08-24,14989.0
2016-08-25,14979.89
2016-08-26,14931.56
2016-08-29,15019.28
2016-08-30,15003.23
2016-08-31,14960.68
2016-09-01,14971.1
2016-09-02,15090.01
2016-09-05,15090.01
2016-09-06,15137.67
2016-09-07,15140.5
2016-09-08,15130.44
2016-09-09,14756.98
2016-09-12,14935.01
2016-09-13,14653.41
2016-09-14,14620.88
2016-09-15,14750.28
2016-09-16,14653.0
2016-09-19,14697.67
2016-09-20,14692.5
2016-09-21,14898.77
2016-09-22,15018.8
2016-09-23,14913.54
