"Date","Price","Open","High","Low","Vol.","Change %"
"29 Aug 2022","24,285.3","24,380.7","24,462.5","24,199.2","","-0.39%"
"26 Aug 2022","24,379.6","25,049.5","25,100.2","24,378.4","","-2.67%"
"25 Aug 2022","25,048.5","24,722.1","25,054.8","24,722.1","","1.33%"
"24 Aug 2022","24,719.2","24,632.7","24,785.8","24,567.5","","0.35%"
"23 Aug 2022","24,632.3","24,638.2","24,795.2","24,605.4","","-0.02%"
"22 Aug 2022","24,637.5","25,033.3","25,033.3","24,595.9","","-1.57%"
"19 Aug 2022","25,029.9","25,311.8","25,311.8","24,977.9","","-1.11%"
"18 Aug 2022","25,310.6","25,262.8","25,345.4","25,194.4","","0.22%"
"17 Aug 2022","25,256.2","25,437.1","25,437.1","25,136.7","","-0.71%"
"16 Aug 2022","25,436.0","25,351.8","25,517.8","25,300.1","","0.34%"
"15 Aug 2022","25,350.2","25,366.4","25,367.2","25,122.3","","-0.06%"
"12 Aug 2022","25,365.5","25,042.2","25,368.6","25,042.2","","1.37%"
"11 Aug 2022","25,021.9","24,941.3","25,251.8","24,941.3","","0.38%"
"10 Aug 2022","24,928.3","24,466.8","24,944.9","24,466.8","","1.89%"
"09 Aug 2022","24,465.8","24,531.5","24,589.7","24,402.3","","-0.26%"
"08 Aug 2022","24,529.6","24,477.4","24,709.1","24,477.4","","0.22%"
"05 Aug 2022","24,476.8","24,398.3","24,478.7","24,198.9","","0.33%"
"04 Aug 2022","24,396.5","24,465.3","24,492.8","24,381.4","","-0.27%"
"03 Aug 2022","24,462.9","24,295.5","24,529.0","24,295.5","","0.69%"
"02 Aug 2022","24,295.1","24,492.7","24,559.8","24,274.8","","-0.81%"
"01 Aug 2022","24,492.4","24,559.3","24,559.3","24,343.2","","-0.27%"
"29 Jul 2022","24,558.4","24,351.9","24,604.2","24,333.2","","0.86%"
"28 Jul 2022","24,348.7","24,079.9","24,366.7","23,904.6","","1.13%"
"27 Jul 2022","24,076.7","23,696.3","24,148.6","23,696.3","","1.61%"
"26 Jul 2022","23,696.0","23,865.1","23,865.1","23,644.1","","-0.71%"
"25 Jul 2022","23,864.8","23,691.3","23,878.0","23,674.6","","0.74%"
"22 Jul 2022","23,690.1","23,818.8","23,937.2","23,558.1","","-0.54%"
"21 Jul 2022","23,818.4","23,670.0","23,820.0","23,462.8","","0.64%"
"20 Jul 2022","23,667.6","23,648.6","23,742.3","23,513.6","","0.08%"
"19 Jul 2022","23,648.1","23,052.8","23,666.0","23,052.8","","2.53%"
"18 Jul 2022","23,065.0","23,139.4","23,426.7","23,022.7","","-0.32%"
"15 Jul 2022","23,139.4","22,693.6","23,139.5","22,693.6","","1.97%"
"14 Jul 2022","22,693.5","22,964.2","22,964.2","22,402.6","","-1.16%"
"13 Jul 2022","22,960.5","23,048.2","23,093.6","22,729.2","","-0.38%"
"12 Jul 2022","23,047.6","23,219.5","23,274.5","22,964.5","","-0.74%"
"11 Jul 2022","23,219.0","23,443.0","23,443.0","23,180.0","","-0.95%"
"08 Jul 2022","23,442.5","23,497.3","23,578.4","23,323.1","","-0.22%"
"07 Jul 2022","23,495.2","23,157.0","23,534.9","23,157.0","","1.48%"
"06 Jul 2022","23,151.7","23,206.4","23,276.9","22,950.1","","-0.23%"
"05 Jul 2022","23,205.4","23,426.4","23,426.4","22,755.4","","-0.93%"
