Date;RI_market
21.03.2016;14027,54
22.03.2016;13994,51
23.03.2016;13865,17
24.03.2016;13848,21
25.03.2016;13848,21
28.03.2016;13877,01
29.03.2016;13996,38
30.03.2016;14061,56
31.03.2016;14021,72
01.04.2016;14039,67
04.04.2016;13990,25
05.04.2016;13822,79
06.04.2016;13965,5
07.04.2016;13808,25
08.04.2016;13911,04
11.04.2016;13904,05
12.04.2016;14075,07
13.04.2016;14243,21
14.04.2016;14245,49
15.04.2016;14239,07
18.04.2016;14334,71
19.04.2016;14461,85
20.04.2016;14477,18
21.04.2016;14378
22.04.2016;14455,26
25.04.2016;14393,58
26.04.2016;14473,13
27.04.2016;14543,82
28.04.2016;14420,6
29.04.2016;14360,99
02.05.2016;14442,93
03.05.2016;14263,53
04.05.2016;14157,41
05.05.2016;14154,01
06.05.2016;14193,56
09.05.2016;14170,01
10.05.2016;14356,36
11.05.2016;14235,77
12.05.2016;14242,04
13.05.2016;14096,96
16.05.2016;14243,52
17.05.2016;14142,28
18.05.2016;14123,32
19.05.2016;14058,48
20.05.2016;14141,62
23.05.2016;14109,29
24.05.2016;14284,74
25.05.2016;14413,87
26.05.2016;14406,3
27.05.2016;14449,81
30.05.2016;14449,81
31.05.2016;14411,85
01.06.2016;14435,69
02.06.2016;14482,4
03.06.2016;14483,45
06.06.2016;14576,61
07.06.2016;14638,86
08.06.2016;14695,78
09.06.2016;14629,31
10.06.2016;14431,02
13.06.2016;14301,51
14.06.2016;14227,17
15.06.2016;14231,73
16.06.2016;14271,19
17.06.2016;14306,15
20.06.2016;14447,68
21.06.2016;14505,2
22.06.2016;14480,93
23.06.2016;14713,67
24.06.2016;14081,19
27.06.2016;13794,25
28.06.2016;14058,13
29.06.2016;14321,89
30.06.2016;14515,25
01.07.2016;14553,22
04.07.2016;14553,22
05.07.2016;14406,34
06.07.2016;14456,25
07.07.2016;14419,45
08.07.2016;14639,18
11.07.2016;14715,93
12.07.2016;14854,21
13.07.2016;14866
14.07.2016;14938,95
15.07.2016;14920,24
18.07.2016;14948,57
19.07.2016;14901,54
20.07.2016;14951,13
21.07.2016;14903,64
22.07.2016;14968,6
25.07.2016;14895,82
26.07.2016;14924,73
27.07.2016;14879,96
28.07.2016;14887,24
29.07.2016;14944,78
01.08.2016;14868,21
02.08.2016;14772,6
03.08.2016;14825,15
04.08.2016;14843,07
05.08.2016;14948,42
08.08.2016;14956,91
09.08.2016;14980,24
10.08.2016;14952,41
11.08.2016;15040,92
12.08.2016;15022,84
15.08.2016;15074,38
16.08.2016;15007,26
17.08.2016;15031,37
18.08.2016;15085,47
19.08.2016;15040,34
22.08.2016;15022,2
23.08.2016;15066,26
24.08.2016;14989
25.08.2016;14979,89
26.08.2016;14931,56
29.08.2016;15019,28
30.08.2016;15003,23
31.08.2016;14960,68
01.09.2016;14971,1
02.09.2016;15090,01
05.09.2016;15090,01
06.09.2016;15137,67
07.09.2016;15140,5
