,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-07-01 07:31:50,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Williams David B,Member of a Group,A - Grant,0.0,2599,207732,+1%,0.0,,,,,HBB+WI
1,,2022-07-01 07:31:12,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Williams Clara R,Member of a Group,A - Grant,0.0,2599,207732,+1%,0.0,,,,,HBB+WI
2,,2022-07-01 07:30:33,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Rankin Corbin,Member of a Group,A - Grant,0.0,2599,191720,+1%,0.0,,,,,HBB+WI
3,,2022-07-01 07:29:45,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Rankin Thomas T,Member of a Group,A - Grant,0.0,2599,191720,+1%,0.0,,,,,HBB+WI
4,,2022-07-01 07:27:42,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Rankin Victoire G,Member of a Group,A - Grant,0.0,3544,560167,+1%,0.0,,,,,HBB+WI
5,,2022-07-01 07:20:57,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Rankin Alfred M Et Al,Member of a Group,A - Grant,0.0,3544,560167,+1%,0.0,,,,,HBB+WI
6,,2022-07-01 07:20:14,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Butler Helen Rankin,Member of a Group,A - Grant,0.0,2599,329213,+1%,0.0,,,,,HBB+WI
7,,2022-07-01 07:19:37,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Butler John C Jr,Member of a Group,A - Grant,0.0,2599,329213,+1%,0.0,,,,,HBB+WI
8,,2022-07-01 07:18:53,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Ratner James A,Dir,A - Grant,0.0,2599,43613,+6%,0.0,,,,,HBB+WI
9,,2022-07-01 07:17:58,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Miller Michael Sidney,Dir,A - Grant,0.0,2599,28858,+10%,0.0,,,,,HBB+WI
10,,2022-07-01 07:17:18,2022-07-01,HBB,Hamilton Beach Brands Holding Co,Labarre Dennis W,Dir,A - Grant,0.0,2599,44453,+6%,0.0,,,,,HBB+WI
