,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-21 17:16:33,2022-03-18,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.21,-1210,46829,-3%,-164814.0,,,,,TAP+A
1,,2021-12-30 19:21:38,2021-12-29,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale,161.0,-3669,85405,-4%,-590709.0,,,,,TAP+A
2,,2021-12-21 14:36:19,2021-12-20,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,148.82,-123459,191187,-39%,-18373168.0,,,,,TAP+A
3,A,2021-12-17 10:24:06,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,152.04,-699,32766,-2%,-106274.0,,,,,TAP+A
4,,2021-12-06 17:57:26,2021-12-02,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,151.89,-800,42553,-2%,-121512.0,,,,,TAP+A
5,,2021-12-02 14:26:09,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,152.04,-669,42553,-2%,-101713.0,,,,,TAP+A
6,,2021-11-23 12:59:52,2021-11-19,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,165.0,-1500,18997,-7%,-247500.0,,,,,TAP+A
7,,2021-11-05 16:38:34,2021-11-04,TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,45.47,200,10170,+2%,9093.0,,,,,TAP+A
8,,2021-09-10 08:00:20,2021-09-08,TAP,Molson Coors Beverage Co,Vachon Louis,Dir,P - Purchase,46.04,3000,31837,+10%,138120.0,,,,,TAP+A
9,D,2021-08-20 11:28:22,2021-08-18,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,165.06,-9033,81420,-10%,-1490942.0,,,,,TAP+A
10,D,2021-08-09 15:54:09,2021-08-05,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,155.0,-9033,81420,-10%,-1400115.0,,,,,TAP+A
11,D,2021-06-21 17:18:15,2021-06-17,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,145.1,-1968,81420,-2%,-285563.0,,,,,TAP+A
12,DM,2021-06-17 12:16:36,2021-06-15,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,145.02,-7065,81420,-8%,-1024571.0,,,,,TAP+A
13,D,2021-06-17 12:13:23,2021-06-14,A,"Agilent Technologies, Inc.",Ancher-Jensen Henrik,SVP,S - Sale+OE,143.66,-43731,76902,-36%,-6282527.0,,,,,TAP+A
14,,2021-06-14 12:18:35,2021-06-10,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,S - Sale,142.9,-16289,83423,-16%,-2327698.0,,,,,TAP+A
15,,2021-06-01 18:19:03,2021-05-28,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,138.42,-1000,16916,-6%,-138420.0,,,,,TAP+A
16,,2021-06-01 18:18:10,2021-05-27,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.15,-13465,39579,-25%,-1833351.0,,,,,TAP+A
17,,2021-04-26 17:59:27,2021-04-23,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,137.0,-500,53030,-1%,-68500.0,,,,,TAP+A
