,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-05-18 16:29:45,2022-05-16,CL,Colgate Palmolive Co,Shotts Philip G.,"VP, Controller",S - Sale+OE,78.52,-10000,99783,-9%,-785190.0,,,,,VEL+PR+E+CL
1,D,2022-05-18 16:27:34,2022-05-16,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale+OE,78.49,-19683,17343,-53%,-1544990.0,,,,,VEL+PR+E+CL
2,,2022-05-12 16:49:11,2022-05-11,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale,77.06,-2600,17308,-13%,-200345.0,,,,,VEL+PR+E+CL
3,,2022-02-22 16:35:26,2022-02-18,CL,Colgate Palmolive Co,Verduin Patricia,CTO,S - Sale,79.28,-6306,69057,-8%,-499913.0,,,,,VEL+PR+E+CL
4,,2022-02-22 16:35:16,2022-02-18,CL,Colgate Palmolive Co,Shotts Philip G.,"VP, Controller",S - Sale,79.19,-2461,99312,-2%,-194898.0,,,,,VEL+PR+E+CL
5,,2022-02-22 16:35:10,2022-02-18,CL,Colgate Palmolive Co,Massey Sally,CHRO,S - Sale,79.17,-1624,15388,-10%,-128570.0,,,,,VEL+PR+E+CL
6,,2022-02-22 16:34:59,2022-02-18,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale,79.22,-3023,19760,-13%,-239488.0,,,,,VEL+PR+E+CL
7,,2022-02-22 16:34:58,2022-02-18,CL,Colgate Palmolive Co,Wallace Noel R.,"COB, Pres, CEO",S - Sale,79.33,-38583,323011,-11%,-3060824.0,,,,,VEL+PR+E+CL
8,,2022-02-22 16:34:54,2022-02-18,CL,Colgate Palmolive Co,Daniels Jennifer,"CLO, Secretary",S - Sale,79.25,-8812,49085,-15%,-698354.0,,,,,VEL+PR+E+CL
9,D,2022-02-15 17:29:04,2022-02-14,CL,Colgate Palmolive Co,Bilbrey John P,Dir,S - Sale+OE,78.66,-4917,26568,-16%,-386773.0,,,,,VEL+PR+E+CL
10,D,2022-02-11 16:21:12,2022-02-09,CL,Colgate Palmolive Co,Tsourapas Panagiotis,"Grp Pres, Eur,Developing Mkts",S - Sale+OE,81.0,-25000,55753,-31%,-2025000.0,,,,,VEL+PR+E+CL
11,D,2022-02-04 16:44:20,2022-02-03,CL,Colgate Palmolive Co,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,82.93,-40580,41061,-50%,-3365239.0,,,,,VEL+PR+E+CL
12,D,2022-02-04 16:43:08,2022-02-03,CL,Colgate Palmolive Co,Cahill John T,Dir,S - Sale+OE,83.16,-5389,51557,-9%,-448128.0,,,,,VEL+PR+E+CL
13,D,2022-02-04 16:43:02,2022-02-02,CL,Colgate Palmolive Co,Verduin Patricia,CTO,S - Sale+OE,82.39,-51194,62864,-45%,-4217930.0,,,,,VEL+PR+E+CL
14,D,2022-02-04 16:43:01,2022-02-02,CL,Colgate Palmolive Co,Polk Michael B,Dir,S - Sale+OE,82.74,-4681,21122,-18%,-387312.0,,,,,VEL+PR+E+CL
15,D,2022-02-04 16:42:56,2022-02-02,CL,Colgate Palmolive Co,Harris C Martin,Dir,S - Sale+OE,82.76,-4491,14650,-23%,-371675.0,,,,,VEL+PR+E+CL
16,D,2022-02-04 16:42:50,2022-02-02,CL,Colgate Palmolive Co,Norrington Lorrie M,Dir,S - Sale+OE,82.75,-5389,23494,-19%,-445953.0,,,,,VEL+PR+E+CL
17,D,2022-02-04 16:42:46,2022-02-02,CL,Colgate Palmolive Co,Sadove Stephen I,Dir,S - Sale+OE,82.66,-5389,31418,-15%,-445448.0,,,,,VEL+PR+E+CL
18,,2021-11-09 16:29:03,2021-11-08,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale,77.15,-576,17079,-3%,-44436.0,,,,,VEL+PR+E+CL
19,DM,2021-11-08 16:29:07,2021-11-04,CL,Colgate Palmolive Co,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,77.27,-245200,288859,-46%,-18946201.0,,,,,VEL+PR+E+CL
20,,2021-09-15 16:57:19,2021-09-14,CL,Colgate Palmolive Co,Massey Sally,CHRO,S - Sale,77.18,-610,14114,-4%,-47079.0,,,,,VEL+PR+E+CL
21,,2021-09-15 16:57:02,2021-09-14,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale,77.18,-635,17593,-3%,-49008.0,,,,,VEL+PR+E+CL
22,D,2021-08-18 17:01:41,2021-08-16,CL,Colgate Palmolive Co,Shotts Philip G.,"VP, Controller",S - Sale+OE,79.95,-12737,95935,-12%,-1018323.0,,,,,VEL+PR+E+CL
23,D,2021-08-09 17:06:55,2021-08-05,CL,Colgate Palmolive Co,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,79.11,-20290,41309,-33%,-1605136.0,,,,,VEL+PR+E+CL
24,D,2021-08-06 18:35:54,2021-08-04,CL,Colgate Palmolive Co,Norrington Lorrie M,Dir,S - Sale+OE,78.02,-1898,22704,-8%,-148083.0,,,,,VEL+PR+E+CL
25,D,2021-05-12 17:05:17,2021-05-10,CL,Colgate Palmolive Co,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,82.62,-20289,41266,-33%,-1676302.0,,,,,VEL+PR+E+CL
26,D,2021-05-12 17:05:08,2021-05-10,CL,Colgate Palmolive Co,Massey Sally,CHRO,S - Sale+OE,83.67,-5733,14598,-28%,-479651.0,,,,,VEL+PR+E+CL
27,D,2021-05-10 17:07:58,2021-05-06,CL,Colgate Palmolive Co,Kooyman John W,Chief of Staff,S - Sale+OE,82.07,-11195,18087,-38%,-918729.0,,,,,VEL+PR+E+CL
28,,2021-05-07 17:12:31,2021-05-05,CL,Colgate Palmolive Co,Sadove Stephen I,Dir,S - Sale,81.3,-8000,29068,-22%,-650390.0,,,,,VEL+PR+E+CL
29,D,2021-05-07 17:12:20,2021-05-05,CL,Colgate Palmolive Co,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,81.03,-25279,280393,-8%,-2048383.0,,,,,VEL+PR+E+CL
30,D,2021-05-07 17:12:12,2021-05-05,CL,Colgate Palmolive Co,Verduin Patricia,CTO,S - Sale+OE,80.89,-46566,62783,-43%,-3766929.0,,,,,VEL+PR+E+CL
31,D,2021-05-07 17:11:08,2021-05-05,CL,Colgate Palmolive Co,Bilbrey John P,Dir,S - Sale+OE,80.95,-3941,22805,-15%,-319024.0,,,,,VEL+PR+E+CL
32,,2021-02-22 17:28:42,2021-02-18,CL,Colgate Palmolive Co,Massey Sally,CHRO,S - Sale,78.36,-3,14445,0%,-235.0,,,,,VEL+PR+E+CL
33,,2021-02-22 17:28:35,2021-02-18,CL,Colgate Palmolive Co,Wallace Noel R.,"COB, Pres, CEO",S - Sale,78.25,-17,280025,0%,-1330.0,,,,,VEL+PR+E+CL
34,,2021-02-22 17:28:21,2021-02-18,CL,Colgate Palmolive Co,Verduin Patricia,CTO,S - Sale,78.36,-9,62650,0%,-705.0,,,,,VEL+PR+E+CL
35,,2021-02-22 17:26:59,2021-02-18,CL,Colgate Palmolive Co,Shotts Philip G.,"VP, Controller",S - Sale,78.36,-2,94711,0%,-157.0,,,,,VEL+PR+E+CL
