,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 13:40:17,2022-03-11,A,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.75,264,5000,+6%,"+$6,270",,,,,TRMD+A
1,,2022-03-03 14:55:46,2022-03-02,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.95,300,4736,+7%,"+$7,185",,,,,TRMD+A
2,,2022-03-01 15:14:45,2022-02-28,ATLO,Ames National Corp,Benson David W.,Dir,P - Purchase,$24.00,231,5985,+4%,"+$5,544",,,,,TRMD+A
3,,2022-03-01 15:10:52,2022-02-28,ATLO,Ames National Corp,Cassabaum Michelle R,Dir,P - Purchase,$24.00,222,2668,+9%,"+$5,328",,,,,TRMD+A
4,,2022-02-01 13:16:01,2022-01-31,ATLO,Ames National Corp,Cassabaum Michelle R,Dir,P - Purchase,$24.83,50,2446,+2%,"+$1,242",,,,,TRMD+A
5,,2022-02-01 13:01:21,2022-01-31,ATLO,Ames National Corp,Benson David W.,Dir,P - Purchase,$24.83,68,5754,+1%,"+$1,688",,,,,TRMD+A
6,,2021-12-01 15:56:04,2021-11-30,ATLO,Ames National Corp,Benson David W.,Dir,P - Purchase,$24.50,253,5686,+5%,"+$6,199",,,,,TRMD+A
7,,2021-12-01 15:19:22,2021-11-30,ATLO,Ames National Corp,Cassabaum Michelle R,Dir,P - Purchase,$24.50,219,2330,+10%,"+$5,366",,,,,TRMD+A
8,M,2021-11-01 13:24:44,2021-08-31,ATLO,Ames National Corp,Cassabaum Michelle R,Dir,P - Purchase,$23.68,294,2111,+16%,"+$6,962",,,,,TRMD+A
9,M,2021-11-01 12:31:34,2021-08-31,ATLO,Ames National Corp,Benson David W.,Dir,P - Purchase,$23.79,313,5433,+6%,"+$7,445",,,,,TRMD+A
10,,2021-10-26 15:22:17,2021-10-25,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.50,300,4436,+7%,"+$7,050",,,,,TRMD+A
11,,2021-09-15 17:27:39,2021-09-15,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.25,92,30400,0%,"+$2,139",,,,,TRMD+A
12,A,2021-09-15 10:12:31,2021-09-14,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$22.98,308,30308,+1%,"+$7,078",,,,,TRMD+A
13,,2021-09-15 10:03:54,2021-09-14,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$22.98,308,30308,+1%,"+$7,078",,,,,TRMD+A
14,,2021-09-13 15:17:38,2021-09-10,ATLO,Ames National Corp,Pohlman Thomas H,Dir,P - Purchase,$23.08,500,1000,+100%,"+$11,540",,,,,TRMD+A
15,,2021-09-07 14:42:32,2021-09-03,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.25,500,10000,+5%,"+$11,625",,,,,TRMD+A
16,,2021-09-07 14:42:11,2021-09-03,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.25,100,4136,+2%,"+$2,325",,,,,TRMD+A
17,,2021-08-24 17:14:35,2021-08-24,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.25,500,30000,+2%,"+$11,625",,,,,TRMD+A
18,,2021-08-24 17:08:31,2021-08-23,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.50,100,4036,+3%,"+$2,350",,,,,TRMD+A
19,,2021-08-19 15:09:10,2021-08-18,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.60,500,5135,+11%,"+$11,800",,,,,TRMD+A
20,,2021-08-19 15:04:26,2021-08-19,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.39,500,9500,+6%,"+$11,695",,,,,TRMD+A
21,,2021-08-18 11:38:48,2021-08-16,ATLO,Ames National Corp,Baudler Betty A,Dir,P - Purchase,$23.86,75,21450,0%,"+$1,790",,,,,TRMD+A
22,,2021-08-12 15:21:46,2021-08-11,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.75,500,9000,+6%,"+$11,875",,,,,TRMD+A
23,,2021-08-12 15:16:15,2021-08-11,ATLO,Ames National Corp,Forth Steven D,Dir,P - Purchase,$23.85,200,2720,+8%,"+$4,770",,,,,TRMD+A
24,,2021-08-02 14:34:28,2021-07-30,ATLO,Ames National Corp,Benson David W.,Dir,P - Purchase,$23.63,72,5120,+1%,"+$1,701",,,,,TRMD+A
25,,2021-08-02 14:31:24,2021-07-30,ATLO,Ames National Corp,Cassabaum Michelle R,Dir,P - Purchase,$23.63,51,1817,+3%,"+$1,205",,,,,TRMD+A
26,,2021-07-29 15:27:07,2021-07-29,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.72,1000,4635,+28%,"+$23,720",,,,,TRMD+A
27,,2021-07-29 15:16:07,2021-07-29,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.65,1000,38000,+3%,"+$23,650",,,,,TRMD+A
28,,2021-07-23 13:25:01,2021-07-23,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.50,500,8000,+7%,"+$11,750",,,,,TRMD+A
29,,2021-07-23 12:46:02,2021-07-22,ATLO,Ames National Corp,Baudler Betty A,Dir,P - Purchase,$23.17,50,21375,0%,"+$1,158",,,,,TRMD+A
30,,2021-07-23 09:53:27,2021-07-22,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.25,500,29000,+2%,"+$11,625",,,,,TRMD+A
31,,2021-07-22 17:31:12,2021-07-22,ATLO,Ames National Corp,Swartz Kevin L,Dir,P - Purchase,$23.25,1000,3080,+48%,"+$23,250",,,,,TRMD+A
32,,2021-07-22 15:44:16,2021-07-21,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$23.60,150,3936,+4%,"+$3,540",,,,,TRMD+A
33,,2021-07-22 15:39:07,2021-07-21,ATLO,Ames National Corp,Bauer Scott T,President of Subsidiary bank,P - Purchase,$23.42,200,2689,+8%,"+$4,684",,,,,TRMD+A
34,,2021-07-22 15:34:56,2021-07-21,ATLO,Ames National Corp,Pohlman Thomas H,Dir,P - Purchase,$23.50,200,12835,+2%,"+$4,700",,,,,TRMD+A
35,,2021-07-22 15:31:09,2021-07-21,A,Ames National Corp,Eslinger Lisa M,Dir,P - Purchase,$23.50,200,2247,+10%,"+$4,700",,,,,TRMD+A
36,,2021-07-22 15:24:06,2021-07-21,ATLO,Ames National Corp,Thomas Robert A,President of subsidiary bank,P - Purchase,$23.59,200,1200,+20%,"+$4,718",,,,,TRMD+A
37,,2021-07-22 15:18:38,2021-07-21,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$23.45,1300,36000,+4%,"+$30,486",,,,,TRMD+A
38,,2021-07-22 15:12:55,2021-07-21,ATLO,Ames National Corp,Pierschbacher John L,CFO,P - Purchase,$23.42,200,6700,+3%,"+$4,684",,,,,TRMD+A
39,M,2021-06-22 15:01:20,2021-06-11,ATLO,Ames National Corp,Baudler Betty A,Dir,P - Purchase,$25.05,75,21325,0%,"+$1,879",,,,,TRMD+A
40,,2021-06-15 17:20:27,2021-06-15,ATLO,Ames National Corp,Larson James R II,Dir,P - Purchase,$25.00,200,7200,+3%,"+$5,000",,,,,TRMD+A
