Date;RI_market
21.03.2016;5416,05
22.03.2016;5430,55
23.03.2016;5371,12
24.03.2016;5376,39
25.03.2016;5376,39
28.03.2016;5368,97
29.03.2016;5459,58
30.03.2016;5485,31
31.03.2016;5485,95
01.04.2016;5536,3
04.04.2016;5512,2
05.04.2016;5458,29
06.04.2016;5544,89
07.04.2016;5463,43
08.04.2016;5466,07
11.04.2016;5446,59
12.04.2016;5490,19
13.04.2016;5575,17
14.04.2016;5573,53
15.04.2016;5564,89
18.04.2016;5589,47
19.04.2016;5567,28
20.04.2016;5576,1
21.04.2016;5573,59
22.04.2016;5528,96
25.04.2016;5517,21
26.04.2016;5508,76
27.04.2016;5480,71
28.04.2016;5415,92
29.04.2016;5382,26
02.05.2016;5429,93
03.05.2016;5368,97
04.05.2016;5327,66
05.05.2016;5320,55
06.05.2016;5342,22
09.05.2016;5358,13
10.05.2016;5425,66
11.05.2016;5370,38
12.05.2016;5344,31
13.05.2016;5322,75
16.05.2016;5388,32
17.05.2016;5323,36
18.05.2016;5349,89
19.05.2016;5319,96
20.05.2016;5384,37
23.05.2016;5380,28
24.05.2016;5488,11
25.05.2016;5526,99
26.05.2016;5535,02
27.05.2016;5571,67
30.05.2016;5571,67
31.05.2016;5588,2
01.06.2016;5593,16
02.06.2016;5614,8
03.06.2016;5582,28
06.06.2016;5611,96
07.06.2016;5604,11
08.06.2016;5619,54
09.06.2016;5601,45
10.06.2016;5529,13
13.06.2016;5477,52
14.06.2016;5472,57
15.06.2016;5463,07
16.06.2016;5474,45
17.06.2016;5424,13
20.06.2016;5465,86
21.06.2016;5473,26
22.06.2016;5473,26
23.06.2016;5548,32
24.06.2016;5319,99
27.06.2016;5191,7
28.06.2016;5302,47
29.06.2016;5401,43
30.06.2016;5473,12
01.07.2016;5496,13
04.07.2016;5496,13
05.07.2016;5452,32
06.07.2016;5493,33
07.07.2016;5513,29
08.07.2016;5603,75
11.07.2016;5639,79
12.07.2016;5678,44
13.07.2016;5659,21
14.07.2016;5691,28
15.07.2016;5686,23
18.07.2016;5715,85
19.07.2016;5693,9
20.07.2016;5754,67
21.07.2016;5736,56
22.07.2016;5766,31
25.07.2016;5763,45
26.07.2016;5777,5
27.07.2016;5811,23
28.07.2016;5828,98
29.07.2016;5837,08
01.08.2016;5862,03
02.08.2016;5809,85
03.08.2016;5835,85
04.08.2016;5845,6
05.08.2016;5907,72
08.08.2016;5898,78
09.08.2016;5912,89
10.08.2016;5889,59
11.08.2016;5917,01
12.08.2016;5922,13
15.08.2016;5955,67
16.08.2016;5918,4
17.08.2016;5920,51
18.08.2016;5933,68
19.08.2016;5931,81
22.08.2016;5938,96
23.08.2016;5956,76
24.08.2016;5909,45
25.08.2016;5903,26
26.08.2016;5910,87
29.08.2016;5926,92
30.08.2016;5916,47
31.08.2016;5905,68
01.09.2016;5921,58
02.09.2016;5947,34
05.09.2016;5947,34
06.09.2016;5976,82
07.09.2016;5986,35
08.09.2016;5958,76
09.09.2016;5807,43
12.09.2016;5905,22
13.09.2016;5841,39
14.09.2016;5863
15.09.2016;5949,24
16.09.2016;5943,46
19.09.2016;5932,88
20.09.2016;5940,07
21.09.2016;6001,2
22.09.2016;6051,62
23.09.2016;6013,34
26.09.2016;5958,67
27.09.2016;6013,35
28.09.2016;6028,77
29.09.2016;5972,85
30.09.2016;6021,43
03.10.2016;6010,36
04.10.2016;5997,65
05.10.2016;6027,69
06.10.2016;6017,32
07.10.2016;6000,95
10.10.2016;6042,07
11.10.2016;5949,22
12.10.2016;5940,5
13.10.2016;5911,38
14.10.2016;5912,32
17.10.2016;5896,06
18.10.2016;5945,97
19.10.2016;5949,11
20.10.2016;5943,92
21.10.2016;5961,65
24.10.2016;6021,11
25.10.2016;5991,14
26.10.2016;5953,59
27.10.2016;5914,79
28.10.2016;5885,73
31.10.2016;5884,64
01.11.2016;5844,34
02.11.2016;5790,24
03.11.2016;5740,52
04.11.2016;5727,04
07.11.2016;5863,13
08.11.2016;5894,24
09.11.2016;5959,85
10.11.2016;5912,05
11.11.2016;5944,2
14.11.2016;5923,65
15.11.2016;5991,7
16.11.2016;6013,46
17.11.2016;6058,36
18.11.2016;6044,33
21.11.2016;6098,25
22.11.2016;6118,45
23.11.2016;6112,09
24.11.2016;6112,09
25.11.2016;6132,87
28.11.2016;6099,48
29.11.2016;6112,4
30.11.2016;6049,41
01.12.2016;5967,08
02.12.2016;5972,3
05.12.2016;6032,88
06.12.2016;6060,3
07.12.2016;6129,79
08.12.2016;6156,63
09.12.2016;6187,49
12.12.2016;6151,33
13.12.2016;6210,42
14.12.2016;6179,98
15.12.2016;6203,03
16.12.2016;6180,73
19.12.2016;6204,08
20.12.2016;6234,22
21.12.2016;6220,02
22.12.2016;6192,79
23.12.2016;6210,15
26.12.2016;6210,15
27.12.2016;6238,32
28.12.2016;6183,6
29.12.2016;6176,31
30.12.2016;6121,12
02.01.2017;6121,12
03.01.2017;6173,43
04.01.2017;6229,01
05.01.2017;6241,44
06.01.2017;6279,18
09.01.2017;6291,43
10.01.2017;6314,18
11.01.2017;6327,73
12.01.2017;6309,36
13.01.2017;6339,65
16.01.2017;6339,65
17.01.2017;6299,4
18.01.2017;6318,68
19.01.2017;6301,17
20.01.2017;6318,52
23.01.2017;6315,8
24.01.2017;6370,41
25.01.2017;6433,42
26.01.2017;6432,11
27.01.2017;6438,93
30.01.2017;6385,82
31.01.2017;6387,1
01.02.2017;6418,86
02.02.2017;6411,59
03.02.2017;6447,4
06.02.2017;6443,86
07.02.2017;6456,3
08.02.2017;6465,95
09.02.2017;6505,56
10.02.2017;6527,24
13.02.2017;6562,28
14.02.2017;6585,96
15.02.2017;6628,06
16.02.2017;6623,03
17.02.2017;6650,09
20.02.2017;6650,09
21.02.2017;6681,3
22.02.2017;6675,59
23.02.2017;6647,18
24.02.2017;6658,59
27.02.2017;6678,27
28.02.2017;6636,84
01.03.2017;6727,25
02.03.2017;6678,57
03.03.2017;6689,46
06.03.2017;6664,96
07.03.2017;6647,66
08.03.2017;6652,4
09.03.2017;6654,15
10.03.2017;6680,3
13.03.2017;6697
14.03.2017;6676,03
15.03.2017;6725,44
16.03.2017;6726,7
17.03.2017;6727
20.03.2017;6727,82
21.03.2017;6605,05
22.03.2017;6636,84
23.03.2017;6632,37
24.03.2017;6644,97
27.03.2017;6658,23
28.03.2017;6698,27
29.03.2017;6724,69
30.03.2017;6743,96
31.03.2017;6741,02
03.04.2017;6722,18
04.04.2017;6727,76
05.04.2017;6688,95
06.04.2017;6705,54
07.04.2017;6704,25
10.04.2017;6707,82
11.04.2017;6691,77
12.04.2017;6656,86
13.04.2017;6621,49
14.04.2017;6621,49
17.04.2017;6680,4
18.04.2017;6672,05
19.04.2017;6687,73
20.04.2017;6749,04
21.04.2017;6741,91
24.04.2017;6825,59
25.04.2017;6873,13
26.04.2017;6872,9
27.04.2017;6900,51
28.04.2017;6899,15
01.05.2017;6949,34
02.05.2017;6953,66
03.05.2017;6928,72
04.05.2017;6932,01
05.05.2017;6961,03
08.05.2017;6963,44
09.05.2017;6984,24
10.05.2017;6994,27
11.05.2017;6982,06
12.05.2017;6988,24
15.05.2017;7021,4
16.05.2017;7047,17
17.05.2017;6866,9
18.05.2017;6917,2
19.05.2017;6949,97
22.05.2017;7007,14
23.05.2017;7013,19
24.05.2017;7041,11
25.05.2017;7089,41
26.05.2017;7095,95
29.05.2017;7095,95
30.05.2017;7088,25
31.05.2017;7083,16
01.06.2017;7138,43
02.06.2017;7205,91
05.06.2017;7194,52
06.06.2017;7170,97
07.06.2017;7197,5
08.06.2017;7225,42
09.06.2017;7095,31
12.06.2017;7058,23
13.06.2017;7109,89
14.06.2017;7081,53
15.06.2017;7048,39
16.06.2017;7032,71
19.06.2017;7132,71
20.06.2017;7074,42
21.06.2017;7126,99
22.06.2017;7130,15
23.06.2017;7162,82
26.06.2017;7142,13
27.06.2017;7027,23
28.06.2017;7128,55
29.06.2017;7025,65
30.06.2017;7021,75
03.07.2017;6987,1
04.07.2017;6987,1
05.07.2017;7034,93
06.07.2017;6964,8
07.07.2017;7037,56
10.07.2017;7064,25
11.07.2017;7083,59
12.07.2017;7161,3
13.07.2017;7176,49
14.07.2017;7219,98
17.07.2017;7222,23
18.07.2017;7256,4
19.07.2017;7303,02
20.07.2017;7308,9
21.07.2017;7306,33
24.07.2017;7332,77
25.07.2017;7334,34
26.07.2017;7346,45
27.07.2017;7300,56
28.07.2017;7292,36
31.07.2017;7261,99
01.08.2017;7278,97
02.08.2017;7278,72
03.08.2017;7254,31
04.08.2017;7267,23
07.08.2017;7304,15
08.08.2017;7289,41
09.08.2017;7268,77
10.08.2017;7116,71
11.08.2017;7162,24
14.08.2017;7258,13
15.08.2017;7252,88
16.08.2017;7267,89
17.08.2017;7126,99
18.08.2017;7120,93
21.08.2017;7117,2
22.08.2017;7214,19
23.08.2017;7192,45
24.08.2017;7184,4
25.08.2017;7177,91
28.08.2017;7198,46
29.08.2017;7220,41
30.08.2017;7296,97
31.08.2017;7366,17
01.09.2017;7373,84
04.09.2017;7373,84
05.09.2017;7305,37
06.09.2017;7325,77
07.09.2017;7331,73
08.09.2017;7288,63
11.09.2017;7371,24
12.09.2017;7396,84
13.09.2017;7403,84
14.09.2017;7369,05
15.09.2017;7391,35
18.09.2017;7398,75
19.09.2017;7406,56
20.09.2017;7400,55
21.09.2017;7362,41
22.09.2017;7367,28
25.09.2017;7302,79
26.09.2017;7313,77
27.09.2017;7397,59
28.09.2017;7398,73
29.09.2017;7447,57
02.10.2017;7471,38
03.10.2017;7489,16
04.10.2017;7493,65
05.10.2017;7551,92
06.10.2017;7557,56
09.10.2017;7545,57
10.10.2017;7554,21
11.10.2017;7572,9
12.10.2017;7559,2
13.10.2017;7575,6
16.10.2017;7596,48
17.10.2017;7596,09
18.10.2017;7596,74
19.10.2017;7574,79
20.10.2017;7602,51
23.10.2017;7554,09
24.10.2017;7567,48
25.10.2017;7527,87
26.10.2017;7519,72
27.10.2017;7685,47
30.10.2017;7683,4
31.10.2017;7716,66
01.11.2017;7703,91
02.11.2017;7702,18
03.11.2017;7759,01
06.11.2017;7785,42
07.11.2017;7764,09
08.11.2017;7788,68
09.11.2017;7744,09
10.11.2017;7748,24
13.11.2017;7756
14.11.2017;7733,79
15.11.2017;7700,36
