,Date,Open,High,Low,Close,Adj Close,Volume,ticker,MarketCap,Returns
64,2021-09-29,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
65,2021-09-30,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
66,2021-10-01,9.65,9.65,9.65,9.65,9.65,18000,GOBI,173700.0,0.0
67,2021-10-04,9.645,9.67,9.645,9.67,9.67,2800,GOBI,27006.0,0.002072538860103501
68,2021-10-05,9.67,9.67,9.67,9.67,9.67,0,GOBI,0.0,0.0
69,2021-10-06,9.735,9.83,9.735,9.83,9.83,13800,GOBI,134343.0,0.016546018614270963
70,2021-10-07,9.83,9.83,9.83,9.83,9.83,0,GOBI,0.0,0.0
71,2021-10-08,9.83,9.83,9.83,9.83,9.83,0,GOBI,0.0,0.0
72,2021-10-11,9.8,9.84,9.672,9.78,9.78,1500,GOBI,14700.000000000002,-0.0050864699898270915
73,2021-10-12,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
74,2021-10-13,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
75,2021-10-14,9.67,9.73,9.67,9.73,9.73,1300,GOBI,12571.0,-0.005112474437627745
76,2021-10-15,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
77,2021-10-18,9.741,9.78,9.741,9.78,9.78,1200,GOBI,11689.199999999999,0.005138746145940232
78,2021-10-19,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
79,2021-10-20,9.65,9.78,9.63,9.78,9.78,2800,GOBI,27020.0,0.0
80,2021-10-21,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
81,2021-10-22,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
82,2021-10-25,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
83,2021-10-26,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
84,2021-10-27,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
85,2021-10-28,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
86,2021-10-29,9.7,9.735,9.7,9.735,9.735,300,GOBI,2910.0,-0.004601226993865004
87,2021-11-01,9.735,9.735,9.735,9.735,9.735,0,GOBI,0.0,0.0
88,2021-11-02,9.7,9.7,9.64,9.64,9.64,500,GOBI,4850.0,-0.009758602978941822
89,2021-11-03,9.725,9.745,9.725,9.745,9.745,400,GOBI,3890.0,0.010892116182572575
90,2021-11-04,9.68,9.68,9.68,9.68,9.68,100,GOBI,968.0,-0.006670087224217469
91,2021-11-05,9.687,9.687,9.687,9.687,9.687,200,GOBI,1937.3999999999999,0.0007231404958676357
92,2021-11-08,9.7,9.715,9.7,9.7,9.7,14800,GOBI,143560.0,0.0013420047486321085
93,2021-11-09,9.68,9.78,9.68,9.78,9.78,11500,GOBI,111320.0,0.008247422680412342
94,2021-11-10,9.69,9.69,9.69,9.69,9.69,300,GOBI,2907.0,-0.009202453987730008
95,2021-11-11,9.69,9.69,9.69,9.69,9.69,0,GOBI,0.0,0.0
96,2021-11-12,9.691,9.76,9.691,9.76,9.76,11200,GOBI,108539.20000000001,0.007223942208462342
97,2021-11-15,9.76,9.76,9.76,9.76,9.76,0,GOBI,0.0,0.0
98,2021-11-16,9.76,9.76,9.76,9.76,9.76,0,GOBI,0.0,0.0
99,2021-11-17,9.73,9.73,9.73,9.73,9.73,300,GOBI,2919.0,-0.0030737704918032405
100,2021-11-18,9.74,9.74,9.72,9.72,9.72,1200,GOBI,11688.0,-0.0010277492291880241
101,2021-11-19,9.72,9.72,9.72,9.72,9.72,800,GOBI,7776.000000000001,0.0
102,2021-11-22,9.82,9.82,9.82,9.82,9.82,300,GOBI,2946.0,0.010288065843621297
103,2021-11-23,9.82,9.82,9.82,9.82,9.82,300,GOBI,2946.0,0.0
104,2021-11-24,9.72,9.76,9.69,9.74,9.74,7400,GOBI,71928.0,-0.008146639511201648
105,2021-11-26,9.73,9.82,9.73,9.82,9.82,3500,GOBI,34055.0,0.008213552361396204
106,2021-11-29,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.0
107,2021-11-30,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
108,2021-12-01,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
109,2021-12-02,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
110,2021-12-03,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
111,2021-12-06,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
112,2021-12-07,9.7,9.7,9.7,9.7,9.7,300,GOBI,2910.0,-0.012219959266802527
113,2021-12-08,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.012371134020618735
114,2021-12-09,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.0
115,2021-12-10,9.7,9.7,9.7,9.7,9.7,200,GOBI,1939.9999999999998,-0.012219959266802527
116,2021-12-13,9.7,9.7,9.7,9.7,9.7,0,GOBI,0.0,0.0
117,2021-12-14,9.7,9.7,9.7,9.7,9.7,4100,GOBI,39770.0,0.0
118,2021-12-15,9.7,9.7,9.7,9.7,9.7,700,GOBI,6789.999999999999,0.0
119,2021-12-16,9.73,9.73,9.73,9.73,9.73,300,GOBI,2919.0,0.0030927835051548502
120,2021-12-17,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
121,2021-12-20,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
122,2021-12-21,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
123,2021-12-22,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
124,2021-12-23,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
125,2021-12-27,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
126,2021-12-28,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
127,2021-12-29,9.612,9.612,9.612,9.612,9.612,600,GOBI,5767.2,-0.012127440904419307
128,2021-12-30,9.61,9.61,9.61,9.61,9.61,500,GOBI,4805.0,-0.00020807324178118147
129,2021-12-31,9.66,9.67,9.66,9.66,9.66,900,GOBI,8694.0,0.005202913631633832
