,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-21 17:16:33,2022-03-18,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.21,-1210,46829,-3%,-164814.0,,,,,TRMD+A
1,,2021-12-30 19:21:38,2021-12-29,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale,161.0,-3669,85405,-4%,-590709.0,,,,,TRMD+A
2,,2021-12-21 14:36:19,2021-12-20,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,148.82,-123459,191187,-39%,-18373168.0,,,,,TRMD+A
3,A,2021-12-17 10:24:06,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,152.04,-699,32766,-2%,-106274.0,,,,,TRMD+A
4,,2021-12-06 17:57:26,2021-12-02,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,151.89,-800,42553,-2%,-121512.0,,,,,TRMD+A
5,,2021-12-02 14:26:09,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,152.04,-669,42553,-2%,-101713.0,,,,,TRMD+A
6,,2021-11-23 12:59:52,2021-11-19,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,165.0,-1500,18997,-7%,-247500.0,,,,,TRMD+A
7,D,2021-08-20 11:28:22,2021-08-18,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,165.06,-9033,81420,-10%,-1490942.0,,,,,TRMD+A
8,D,2021-08-09 15:54:09,2021-08-05,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,155.0,-9033,81420,-10%,-1400115.0,,,,,TRMD+A
9,D,2021-06-21 17:18:15,2021-06-17,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,145.1,-1968,81420,-2%,-285563.0,,,,,TRMD+A
10,DM,2021-06-17 12:16:36,2021-06-15,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,145.02,-7065,81420,-8%,-1024571.0,,,,,TRMD+A
11,D,2021-06-17 12:13:23,2021-06-14,A,"Agilent Technologies, Inc.",Ancher-Jensen Henrik,SVP,S - Sale+OE,143.66,-43731,76902,-36%,-6282527.0,,,,,TRMD+A
12,,2021-06-14 12:18:35,2021-06-10,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,S - Sale,142.9,-16289,83423,-16%,-2327698.0,,,,,TRMD+A
13,,2021-06-01 18:19:03,2021-05-28,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,138.42,-1000,16916,-6%,-138420.0,,,,,TRMD+A
14,,2021-06-01 18:18:10,2021-05-27,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.15,-13465,39579,-25%,-1833351.0,,,,,TRMD+A
15,,2021-04-26 17:59:27,2021-04-23,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,137.0,-500,53030,-1%,-68500.0,,,,,TRMD+A
16,,2021-04-26 17:58:20,2021-04-22,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,135.0,-9053,261105,-3%,-1222155.0,,,,,TRMD+A
17,,2021-04-15 18:47:24,2021-04-13,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,132.5,-8966,270158,-3%,-1187995.0,,,,,TRMD+A
18,,2021-04-12 19:01:19,2021-04-08,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,130.26,-15095,279124,-5%,-1966275.0,,,,,TRMD+A
19,,2021-04-01 17:48:06,2021-03-31,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,S - Sale,127.5,-1000,53936,-2%,-127500.0,,,,,TRMD+A
20,,2021-02-24 17:54:23,2021-02-22,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,124.17,-5000,41229,-11%,-620850.0,,,,,TRMD+A
21,M,2021-02-18 18:48:28,2021-02-16,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,131.16,-1000,53530,-2%,-131155.0,,,,,TRMD+A
22,,2021-02-18 18:33:50,2021-02-16,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,130.0,-20766,294219,-7%,-2699580.0,,,,,TRMD+A
23,DM,2021-02-18 18:31:51,2021-02-16,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,133.59,-19786,81326,-20%,-2643281.0,,,,,TRMD+A
24,M,2021-02-03 13:28:20,2021-02-01,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,122.57,-63190,314985,-17%,-7745187.0,,,,,TRMD+A
25,,2021-01-19 17:01:59,2021-01-14,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,127.27,-500,54880,-1%,-63635.0,,,,,TRMD+A
26,,2020-12-02 20:17:31,2020-12-01,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,115.63,-85842,415347,-17%,-9925910.0,,,,,TRMD+A
27,,2020-12-02 20:16:19,2020-11-30,A,"Agilent Technologies, Inc.",Koh Boon Hwee,Dir,S - Sale,114.51,-20000,68051,-23%,-2290200.0,,,,,TRMD+A
28,,2020-11-12 13:31:34,2020-11-09,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,116.16,-2222,56807,-4%,-258108.0,,,,,TRMD+A
29,,2020-11-09 14:33:48,2020-11-05,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,111.0,-1111,59029,-2%,-123321.0,,,,,TRMD+A
