,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-22 17:04:07,2022-03-21,SCWX,Thomas Wendy,CEO,P - Purchase,11.89,3000,970338,0%,35670.0,,,,,SCWX
1,,2022-03-22 17:03:49,2022-03-18,SCWX,Hanna George B,"Chief Legal, Admin Officer",P - Purchase,11.27,4000,423146,+1%,45080.0,,,,,SCWX
2,,2022-03-22 17:03:20,2022-03-18,SCWX,Grant Christian,"VP, Chief Accounting Officer",P - Purchase,10.7,2000,65475,+3%,21400.0,,,,,SCWX
3,,2022-03-22 17:03:02,2022-03-18,SCWX,Parrish Paul,CFO,P - Purchase,11.19,5000,543345,+1%,55950.0,,,,,SCWX
4,,2022-01-27 16:05:29,2022-01-25,SCWX,Gagnon Neil,10%,P - Purchase,14.19,1205,929670,0%,17098.0,,,,,SCWX
5,,2021-10-18 09:18:15,2021-09-24,SCWX,"Centerview Capital Technology Fund (Delaware), L.P.",10%,S - Sale,23.48,-870000,871070,-50%,-20427600.0,,,,,SCWX
6,M,2021-07-02 17:57:58,2021-06-30,SCWX,Grant Christian,"VP, Chief Accounting Officer",P - Purchase,18.92,1300,43852,+3%,24600.0,,,,,SCWX
7,,2021-06-29 19:03:53,2021-06-25,SCWX,Grant Christian,"VP, Chief Accounting Officer",P - Purchase,20.75,500,42552,+1%,10375.0,,,,,SCWX
